label_idx,label_name,positive_samples_cnn,tp_cnn,fn_cnn,fp_cnn,tn_cnn,f1_cnn,precision_cnn,recall_cnn,error_rate_cnn,binary_error_rate_cnn,positive_samples_ttn,tp_ttn,fn_ttn,fp_ttn,tn_ttn,f1_ttn,precision_ttn,recall_ttn,error_rate_ttn,binary_error_rate_ttn,error_diff,abs_error_diff
32,Sulfonic acid,0,0,0,0,158881,0.0,0.0,0.0,0.0,0.0,2,0,2,0,79438,0.0,0.0,0.0,1.0,2.5176233635448137e-05,-1.0,1.0
14,Enol,532,260,272,39,158310,0.6257521058965102,0.8695652173913043,0.4887218045112781,0.5112781954887218,0.0019574398449153,739,195,544,88,78613,0.3816046966731898,0.6890459363957597,0.2638700947225981,0.7361299052774019,0.0079556898288016,-0.22485170978868008,0.22485170978868008
20,Imide,2982,2090,892,300,155599,0.7781087118391661,0.8744769874476988,0.7008718980549966,0.2991281019450033,0.0075024704023766,2114,1029,1085,417,76909,0.5780898876404494,0.7116182572614108,0.4867549668874172,0.5132450331125827,0.0189073514602215,-0.21411693116757946,0.21411693116757946
1,Acyl halide,811,323,488,89,157981,0.5282093213409649,0.7839805825242718,0.3982737361282367,0.6017262638717632,0.0036316488441034,549,117,432,120,78771,0.2977099236641221,0.4936708860759494,0.2131147540983606,0.7868852459016393,0.0069486404833836,-0.18515898202987613,0.18515898202987613
18,Hydrazine,1824,1031,793,96,156961,0.6987461877329719,0.9148181011535048,0.5652412280701754,0.4347587719298245,0.0055953827078127,1227,476,751,280,77933,0.4800806858295512,0.6296296296296297,0.3879380603096984,0.6120619396903015,0.0129783484390735,-0.17730316776047705,0.17730316776047705
35,Thioamide,1255,585,670,89,157537,0.6065318818040435,0.8679525222551929,0.4661354581673306,0.5338645418326693,0.0047771602646005,922,281,641,189,78329,0.403735632183908,0.597872340425532,0.3047722342733189,0.6952277657266811,0.0104481369587109,-0.1613632238940118,0.1613632238940118
17,Haloalkane,73280,53679,19601,13333,72268,0.765246771020443,0.8010356354085836,0.7325191048034935,0.2674808951965065,0.2072872149596238,51991,45336,6655,14932,12517,0.8077036139641365,0.7522399946903829,0.8719970764170721,0.1280029235829278,0.2717396777442095,0.13947797161357867,0.13947797161357867
3,Aldehyde,4058,2467,1591,410,154413,0.711463590483057,0.8574904414320472,0.6079349433218334,0.3920650566781666,0.0125943316066741,2874,1353,1521,638,75928,0.5562178828365879,0.6795580110497238,0.4707724425887265,0.5292275574112735,0.0271777442094662,-0.13716250073310687,0.13716250073310687
11,Carbamate,15176,13645,1531,1101,142604,0.912037965376646,0.9253356842533568,0.8991170268845545,0.1008829731154454,0.0165658574656503,10883,8399,2484,1110,67447,0.8237544134954884,0.8832684824902723,0.7717541119176697,0.2282458880823302,0.0452416918429003,-0.1273629149668848,0.1273629149668848
30,Sulfonate,1821,1672,149,90,156970,0.9332961205693552,0.948921679909194,0.9181768259198244,0.0818231740801757,0.0015042704917516,1288,1024,264,78,78074,0.8569037656903765,0.9292196007259528,0.7950310559006211,0.2049689440993788,0.0043051359516616,-0.1231457700192031,0.1231457700192031
