searched_formula,selected,test_index,case_type,true_labels,predicted_binary_labels,source_file,source_row,global_index,formula,smiles
C6H8N2O,1,343,mixed error,Alkane,Haloalkane,aligned_chunk_52.parquet,2306,628398,C6H8N2O,Cn1cccc1C=NO
C6H8N2O,0,9846,false negative,Alkane; Amine; Ether,Alkane; Amine,aligned_chunk_244.parquet,524,526069,C6H8N2O,COc1ccc(N)nc1
C6H8N2O,0,15226,correct,Alcohol; Alkane,Alcohol; Alkane,aligned_chunk_199.parquet,2510,362898,C6H8N2O,O[C@H]1Cc2nccn2C1
C6H8N2O,0,36818,false positive,Alkane; Ketone,Alkane; Ester; Ether; Ketone,aligned_chunk_169.parquet,468,253757,C6H8N2O,CC(=O)c1cncn1C
C6H8N2O,0,45736,correct,Alkane; Ketone,Alkane; Ketone,aligned_chunk_24.parquet,3118,512469,C6H8N2O,[N-]=[N+]=C1CCCCC1=O
C6H8N2O,0,46632,false positive,Alkane; Amine,Alkane; Amine; Ester; Ether,aligned_chunk_0.parquet,111,111,C6H8N2O,Cn1cccc(N)c1=O
C6H8N2O,0,51320,mixed error,Alkane; Ether,Alkane; Alkene,aligned_chunk_33.parquet,1124,559248,C6H8N2O,CCOc1cncnc1
C6H8N2O,0,51634,correct,Alcohol; Alkane,Alcohol; Alkane,aligned_chunk_150.parquet,3076,191271,C6H8N2O,OCCc1ccncn1
C6H8N2O,0,52375,false positive,Alcohol; Alkane,Alcohol; Alkane; Haloalkane,aligned_chunk_62.parquet,3145,664827,C6H8N2O,OCCc1cccnn1
C6H8N2O,0,63539,false positive,Alcohol; Alkane; Amine,Alcohol; Alkane; Amine; Haloalkane,aligned_chunk_240.parquet,2978,515524,C6H8N2O,Nc1cnccc1CO
C6H8N2O,0,64642,mixed error,Alcohol; Alkane; Amine; Phenol,Alcohol; Alkane; Amine; Ether,aligned_chunk_213.parquet,3202,418577,C6H8N2O,Cc1nccc(N)c1O
C9H10N2O,0,7643,correct,Alkane; Nitrile,Alkane; Nitrile,aligned_chunk_33.parquet,1577,559701,C9H10N2O,CCc1cc(C)[nH]c(=O)c1C#N
C9H10N2O,0,15157,mixed error,Alkane; Arene,Amide; Arene,aligned_chunk_59.parquet,2163,650815,C9H10N2O,NC(=O)N1Cc2ccccc2C1
C9H10N2O,0,19975,false negative,Alkane; Amine; Arene; Ether; Nitrile,Alkane; Amine; Arene; Nitrile,aligned_chunk_144.parquet,139,165546,C9H10N2O,COC(C#N)Nc1ccccc1
C9H10N2O,0,20276,mixed error,Alkane; Amine; Arene; Nitrile,Amine; Arene; Ether; Haloalkane; Nitrile,aligned_chunk_163.parquet,107,233848,C9H10N2O,N#Cc1ccc(CCON)cc1
C9H10N2O,0,23635,mixed error,Alkane; Ether,Haloalkane,aligned_chunk_205.parquet,1078,387299,C9H10N2O,CCOc1cnc2cc[nH]c2c1
