row_number,formula,reason
1,C27H25F3N2O3,not found in test split
2,C14H18Cl2N2OS,not found in test split
3,C17H13BrN2O5,not found in test split
4,C15H12ClFN6O,not found in test split
8,C17H14F3N7O2,not found in test split
13,C11H13ClFN3O2,not found in test split
16,C8H6ClN5O,not found in test split
17,C19H14N2O6,not found in test split
21,C21H21F3N8,not found in test split
22,C17H22NO7P,not found in test split
35,C22H17IN4O3S2,not found in test split
43,C26H18FN3O,not found in test split
45,C16H14ClN5O2,not found in test split
47,C26H44N6O2,not found in test split
54,C21H21N9OS,not found in test split
56,C22H20F2N6O3,not found in test split
57,C17H16F3NO5,not found in test split
60,C20H24O5S,not found in test split
62,C25H26ClN5O2S,not found in test split
65,C25H30Cl2N2O4,not found in test split
69,C23H24ClNO4,not found in test split
70,C24H19Cl3N4O2,not found in test split
72,C26H27NO5S,not found in test split
73,C14H18ClN7O,not found in test split
74,C23H19BrFN5O2,not found in test split
78,C21H20F2N2,not found in test split
79,C16H22O11,not found in test split
82,C26H21BrN4O2,not found in test split
95,C24H27N7O4,not found in test split
99,C14H12FN3O4,not found in test split
102,C17H18N2O6S2,not found in test split
109,C12H13FN2OS,not found in test split
110,C11H17BrN2O2,not found in test split
114,C7H16N2O2S,not found in test split
115,C18H17Cl2N3O5,not found in test split
116,C22H11ClF5N5O2,not found in test split
118,C23H35N5O3,not found in test split
125,C17H10Cl2F3N,not found in test split
129,C27H41N3O4,not found in test split
134,C13H24ClNO3,not found in test split
138,C18H28N4O3S2,not found in test split
139,C16H27N5O2,not found in test split
140,C21H17F3N2O2S,not found in test split
142,C28H44O4,not found in test split
144,C11H6BrCl2NO5S2,not found in test split
146,C23H37N3OS,not found in test split
149,C14H8F4N2O,not found in test split
152,C26H33BrClN3O4,not found in test split
154,C15H22BrNO4S,not found in test split
155,C16H8Br2Cl2F3N3,not found in test split
156,C10H9ClO5S,not found in test split
157,C20H21F2N5O4,not found in test split
160,C8H8N2O4S,not found in test split
163,C9H8O3S,not found in test split
164,C16H20F4N2O,not found in test split
167,C16H13FN4O3,not found in test split
168,C20H21BrFN3O2,not found in test split
175,C17H14Br2N2O5,not found in test split
185,C16H21BrN4O4,not found in test split
189,C18H14ClNS,not found in test split
191,C10H5F3O3S,not found in test split
192,C20H22BrN,not found in test split
193,C17H20N4S2,not found in test split
195,C20H22N2O6S,not found in test split
197,C21H21F3N4O,not found in test split
198,C17H14F3N5O2S,not found in test split
204,C12H21NO4S2,not found in test split
209,C8H8FNO3,not found in test split
214,C18H17ClN2O2S,not found in test split
216,C6H7BrO3,not found in test split
221,C15H14ClNO3S,not found in test split
222,C11H18Br2,not found in test split
228,C23H28F3N7O,not found in test split
229,C15H14N8O2S,not found in test split
231,C14H20BrNOS,not found in test split
232,C9H8O4S,not found in test split
243,C14H9ClFN3O2,not found in test split
245,C19H14BrFN8,not found in test split
253,C14H11FO4S,not found in test split
256,C24H42O2,not found in test split
257,C27H25F3N2O3,not found in test split
260,C11H9Cl3O2,not found in test split
268,C22H24F2N2O2,not found in test split
272,C11H9F3N4,not found in test split
273,C15H13BrClFO,not found in test split
274,C27H38N2O3S,not found in test split
279,C23H38N2O3S2,not found in test split
281,C13H16ClN3O3,not found in test split
285,C16H28O3,not found in test split
288,C17H26O7,not found in test split
290,C14H11FN2,not found in test split
291,C22H30N4O6S,not found in test split
295,C14H8F3NO6S,not found in test split
298,C25H43NO4,not found in test split
300,C19H14O2,not found in test split
305,C28H31F2N3O2,not found in test split
306,C23H34Cl2N4,not found in test split
307,C10H14N2O5,not found in test split
319,C16H12F4N4O2,not found in test split
320,C12H10F4O3,not found in test split
322,C20H13ClFN3S,not found in test split
324,C8H11ClN2O4S,not found in test split
325,C12H8N4O2S2,not found in test split
326,C18H16Cl2FN3O3S,not found in test split
328,C4H8N2OS,not found in test split
329,C24H16ClFN6O,not found in test split
338,C9H6N2OS,not found in test split
339,C20H23N5O6S,not found in test split
340,C19H17Cl2FN4O3S,not found in test split
343,C22H32N2O4S,not found in test split
345,C22H21N3O5S2,not found in test split
349,C20H21NO6S,not found in test split
350,C15H20FNO2S,not found in test split
358,C16H24N4O2S,not found in test split
371,C9H7Cl2F3N2O2,not found in test split
372,C15H14ClN3OS2,not found in test split
380,C15H11Cl2NO,not found in test split
382,C17H14Cl2N4O2,not found in test split
383,C15H14BrClN2O2,not found in test split
389,C9H5F3N4O2,not found in test split
391,C18H20O7S,not found in test split
394,C21H35NO5S2,not found in test split
410,C22H36N2O4,not found in test split
414,C11H5F3N2O,not found in test split
416,C7H13N3O2S,not found in test split
422,C16H21N5O2,not found in test split
424,C13H17N3O3S2,not found in test split
432,C19H22FN3O4S,not found in test split
439,C19H12F6N2O,not found in test split
440,C27H29F3O3,not found in test split
441,C9H8ClF3N4,not found in test split
447,C18H13NO3S2,not found in test split
454,C16H10Cl4F2N2O3,not found in test split
462,C26H27FN4O4,not found in test split
465,C8H6INO3,not found in test split
467,C12H5Cl3F6N2,not found in test split
470,C27H26F3NO3,not found in test split
477,C19H15BrN4O2S,not found in test split
478,C15H11BrF2N2,not found in test split
481,C21H21F2N7O3,not found in test split
482,C16H20F3N3O2,not found in test split
483,C11H7F5O2,not found in test split
484,C22H35F3N2O4S,not found in test split
491,C13H15ClOS,not found in test split
492,C24H24NO2PS,not found in test split
493,C16H16BrNO,not found in test split
498,C15H12FN3O4S,not found in test split
502,C23H34F3N3O3,not found in test split
507,C18H15Cl2N5S,not found in test split
518,C23H17F3N2O2,not found in test split
519,C7H5Br2F,not found in test split
520,C18H13ClO4,not found in test split
526,C6H12N2S2,not found in test split
536,C15H15F5N2O,not found in test split
543,C24H27NO5S3,not found in test split
545,C19H18BrClN2O3,not found in test split
549,C26H26FNO4,not found in test split
550,C26H26O2S,not found in test split
551,C11H12ClFN2O,not found in test split
553,C24H31ClN4O3,not found in test split
556,C24H22N3O3P,not found in test split
564,C15H30O3,not found in test split
566,C23H18Cl2F3N3O3,not found in test split
567,C11H12BrF3O3,not found in test split
568,C15H14F4N2O3,not found in test split
572,C9H8BrCl2NO2,not found in test split
573,C28H37N3O3S,not found in test split
574,C23H30N4O2S,not found in test split
577,C21H28ClN5O2,not found in test split
578,C13H11F3N2O7S,not found in test split
586,C15H22BrN3O,not found in test split
587,C25H22N2O4S,not found in test split
589,C4H6N2O2S,not found in test split
590,C24H27F3N6O,not found in test split
593,C15H22ClNO5S,not found in test split
594,C7H7ClN4S,not found in test split
601,C25H33NOS,not found in test split
604,C20H19ClF2N2O,not found in test split
606,C13H10F3N3O,not found in test split
607,C28H44NO4P,not found in test split
610,C21H24N2O5S2,not found in test split
613,C9H18Br2O,not found in test split
618,C5H6F3NO2S2,not found in test split
620,C12H13ClN2S,not found in test split
621,C13H20N4S,not found in test split
622,C14H11ClN4O2S2,not found in test split
624,C14H11BrF3NO,not found in test split
627,C16H27NO6,not found in test split
635,C12H17ClN2O4S,not found in test split
637,C22H24F3NO3,not found in test split
641,C7H7F3N8O13,not found in test split
644,C24H29ClN2OS,not found in test split
645,C19H19F2N3O2,not found in test split
647,C26H32FNO3,not found in test split
660,C26H31F2N3O,not found in test split
661,C19H16F2N2O3S,not found in test split
664,C22H30BrN3O4,not found in test split
672,C19H16ClN5O3,not found in test split
679,C13H13NO6,not found in test split
681,C14H15BrF3NO5S,not found in test split
690,C8H4BrFO2,not found in test split
692,C18H15N5O2S3,not found in test split
694,C24H18F2N2O6,not found in test split
696,C18H22F6O2,not found in test split
698,C18H18FNO10,not found in test split
701,C12H14F2O3,not found in test split
702,C18H25BrN2O3,not found in test split
703,C16H24ClN,not found in test split
707,C11H25N3O,not found in test split
709,C19H22N4O5S2,not found in test split
711,C10H8FN3O,not found in test split
713,C18H20ClN5O3,not found in test split
714,C19H17NOS,not found in test split
720,C9H12F2O2S,not found in test split
721,C13H20FN3,not found in test split
728,C19H16F2N2O3,not found in test split
734,C23H18ClF3N4O2,not found in test split
735,C16H18INO2,not found in test split
736,C16H11ClF3NO6S,not found in test split
741,C16H13IO4,not found in test split
746,C13H9ClN6O,not found in test split
753,C15H14ClNO,not found in test split
757,C12H7ClN2O4,not found in test split
766,C18H27N3O,not found in test split
769,C25H42N2O3,not found in test split
772,C4H7N3O3,not found in test split
774,C13H12N4O3S2,not found in test split
778,C14H17BrN2O3,not found in test split
780,C18H21FIN3O4S,not found in test split
782,C23H23F2N5O2S,not found in test split
783,C9H8F5N,not found in test split
784,C5H7ClN2O,not found in test split
786,C19H13Cl2NO2,not found in test split
787,C17H14N4OS,not found in test split
788,C24H30FN5O,not found in test split
790,C14H12F2N2O,not found in test split
793,C24H20F4N2O2,not found in test split
795,C16H17ClFN3O3S2,not found in test split
800,C10H7ClN4,not found in test split
801,C21H22Cl2N2O2,not found in test split
802,C9H4ClFN4O,not found in test split
804,C19H14N2O6,not found in test split
806,C21H22O10,not found in test split
810,C26H56N2,not found in test split
811,C16H10BrClF3NO,not found in test split
812,C14H13BrO3,not found in test split
815,C16H15BrClNO3,not found in test split
816,C20H21F3N2O4S2,not found in test split
819,C15H21BrN4O9S,not found in test split
826,C12H14BrFO2,not found in test split
830,C8H5FN2S,not found in test split
834,C12H10FN3O4S,not found in test split
836,C20H14Cl2F2N2O4S,not found in test split
837,C22H27BrN6O4,not found in test split
838,C12H23N3S2,not found in test split
845,C8H14Cl2,not found in test split
848,C13H10Cl2N2O2,not found in test split
849,C24H30FN5OS,not found in test split
858,C21H15F4N5O,not found in test split
859,C14H20N6O3S,not found in test split
862,C10H14FN,not found in test split
866,C19H14O2S,not found in test split
868,C18H25Cl2N3O5,not found in test split
869,C12H12Cl3NS2,not found in test split
872,C24H46O4,not found in test split
874,C20H21ClIN3O3,not found in test split
875,C24H23Cl2F3N2O3,not found in test split
879,C9H6O2S3,not found in test split
880,C13H11ClF2N4,not found in test split
882,C21H16Cl2N2O5,not found in test split
889,C14H10ClFO4S,not found in test split
890,C23H22ClFN4O2S,not found in test split
902,C23H33N5O5,not found in test split
906,C13H12F3N3OS2,not found in test split
907,C23H16Cl2F3NO4S,not found in test split
915,C22H24ClF2N5O2,not found in test split
918,C20H17F2NO6,not found in test split
919,C21H25ClN6O2S2,not found in test split
920,C10H15N3O2,not found in test split
921,C17H21FN4OS,not found in test split
924,C14H16F2N2O2S,not found in test split
927,C17H11Cl2F2N5O2,not found in test split
931,C13H10F3NO2,not found in test split
932,C21H19F3N6O,not found in test split
934,C22H25N3O6S,not found in test split
936,C19H18Cl2O6,not found in test split
937,C15H26O2S,not found in test split
940,C21H12F3N7,not found in test split
946,C19H18ClN7O3,not found in test split
