class_index,label,f1,precision,recall,support_true,predicted_positive,main_diagnosis,top_wrong_predicted_when_this_was_missed
32,Sulfonic acid,0.0,0.0,0.0,3,0,low support / rare functional group; mostly under-detected: many false negatives; weak probability separation between positive and negative samples; often missed while another label is predicted,Sulfide (2) | Haloalkane (2) | Alcohol (1)
34,Thial,0.0,0.0,0.0,1,0,low support / rare functional group; mostly under-detected: many false negatives; weak probability separation between positive and negative samples; low threshold may inflate false positives; often missed while another label is predicted,Alkene (1) | Sulfide (1)
10,Azo compound,0.21875,0.5384615384615384,0.13725490196078433,51,13,low support / rare functional group; mostly under-detected: many false negatives; weak probability separation between positive and negative samples; high threshold may suppress recall; often missed while another label is predicted,Ether (16) | Haloalkane (9) | Alkyne (3)
27,Phosphine,0.41025641025641024,0.6956521739130435,0.2909090909090909,55,23,low support / rare functional group; mostly under-detected: many false negatives; high threshold may suppress recall; often missed while another label is predicted,Haloalkane (18) | Ether (12) | Sulfide (7)
33,Sulfoxide,0.44376899696048633,0.5725490196078431,0.36228287841191065,403,255,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Ether (79) | Haloalkane (67) | Sulfide (63)
1,Acyl halide,0.5062240663900415,0.5791139240506329,0.44963144963144963,407,316,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Ether (46) | Ketone (30) | Ester (27)
19,Hydrazone,0.5344827586206896,0.7146974063400576,0.4268502581755594,581,347,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Ether (76) | Haloalkane (54) | Amide (34)
21,Imine,0.5357873210633947,0.7043010752688172,0.43234323432343236,606,372,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Ether (94) | Haloalkane (64) | Ketone (38)
28,Sulfide,0.5387876811256581,0.5458321533087889,0.5319227230910764,10870,10593,often missed while another label is predicted,Haloalkane (1143) | Ether (923) | Amide (261)
13,Enamine,0.5600436681222707,0.7286931818181818,0.45478723404255317,1128,704,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Haloalkane (122) | Ether (110) | Sulfide (67)
0,Acid anhydride,0.5714285714285714,0.8235294117647058,0.4375,64,34,low support / rare functional group; mostly under-detected: many false negatives; often missed while another label is predicted,Haloalkane (15) | Ketone (8) | Amide (5)
24,Ketone,0.5994507650058847,0.6300511298037276,0.5716851242143071,6682,6063,often missed while another label is predicted,Ether (626) | Haloalkane (497) | Ester (309)
5,Alkene,0.6746338174909603,0.7711923777497548,0.5995642701525055,9180,7137,high threshold may suppress recall; often missed while another label is predicted,Haloalkane (634) | Ether (622) | Sulfide (299)
35,Thioamide,0.6775119617224881,0.7990970654627539,0.5880398671096345,602,443,low support / rare functional group; often missed while another label is predicted,Amide (70) | Ether (53) | Haloalkane (50)
3,Aldehyde,0.6867816091954023,0.8230027548209367,0.5892504930966469,2028,1452,high threshold may suppress recall; often missed while another label is predicted,Ether (172) | Haloalkane (171) | Sulfide (69)
