class_index,label,support_true,support_true_pct,predicted_positive,predicted_positive_pct,prediction_minus_truth_pct,tp,fp,fn,tn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,threshold,mean_prob_all,mean_prob_true_positive_samples,mean_prob_true_negative_samples,prob_gap_pos_minus_neg,roc_auc,average_precision,train_prevalence,eval_prevalence,eval_minus_train_prevalence
0,Acid anhydride,64,0.0008056293349781599,34,0.00042799058420714745,-0.00037763875077101243,28,6,36,79371,0.8235294117647058,0.4375,0.5714285714285714,0.9999244113534147,7.55886465852829e-05,0.5625,0.6499999761581421,0.0005092101637274027,0.4593600034713745,0.00013924844097346067,0.4592207670211792,0.9501232055570255,0.5154514767602365,0.0007757414782517022,0.0008056293349781599,2.9887856726457714e-05
1,Acyl halide,407,0.005123299052126736,316,0.003977794841454664,-0.001145504210672071,183,133,224,78901,0.5791139240506329,0.44963144963144963,0.5062240663900415,0.9983171799478705,0.0016828200521294633,0.5503685503685504,0.550000011920929,0.004449761938303709,0.46211397647857666,0.002092936774715781,0.460021048784256,0.9204619676948043,0.5055342225277882,0.00514853167715937,0.005123299052126736,-2.523262503263419e-05
2,Alcohol,21396,0.2693319570498861,21438,0.2698606513009655,0.0005286942510794175,21124,314,272,57731,0.9853531112976956,0.9872873434286783,0.9863192790773685,0.9945904039968989,0.005409596003101042,0.012712656571321743,0.30000001192092896,0.2685641944408417,0.9839504361152649,0.004865251015871763,0.9790852069854736,0.9988671671744164,0.997358511234907,0.26789673354617705,0.2693319570498861,0.00143522350370906
3,Aldehyde,2028,0.02552837955212044,1452,0.018277715537317003,-0.007250664014803439,1195,257,833,77156,0.8230027548209367,0.5892504930966469,0.6867816091954023,0.9966801441618333,0.003319855838166716,0.41074950690335305,0.8500000238418579,0.02257290482521057,0.6300976872444153,0.006657485384494066,0.6234402060508728,0.9422527983376441,0.7153591182786415,0.02550663156685617,0.02552837955212044,2.174798526426852e-05
4,Alkane,76492,0.9628781107992095,77232,0.9721931999848944,0.009315089185684973,75617,1615,875,1334,0.9790889786616946,0.9885608952570203,0.9838021388982853,0.4523567310952865,0.5476432689047135,0.011439104742979657,0.10000000149011612,0.818009078502655,0.8416610956192017,0.20451577007770538,0.6371453404426575,0.9537487941699615,0.9979548664019278,0.9632710799485776,0.9628781107992095,-0.00039296914936814975
5,Alkene,9180,0.1155574577359298,7137,0.08984025880842386,-0.025717198927505947,5504,1633,3676,68628,0.7711923777497548,0.5995642701525055,0.6746338174909603,0.9767580877015699,0.023241912298430138,0.40043572984749454,0.8500000238418579,0.10733157396316528,0.6459788680076599,0.03695423901081085,0.6090246438980103,0.9067592568561436,0.7488553536801762,0.11570506718110023,0.1155574577359298,-0.0001476094451704213
6,Alkyne,1519,0.019121108747372263,1041,0.013104064651754132,-0.0060170440956181315,919,122,600,77800,0.882804995196926,0.6050032916392364,0.71796875,0.998434331767665,0.001565668232334899,0.39499670836076367,0.699999988079071,0.014586355537176132,0.6238973736763,0.002708535408601165,0.6211888194084167,0.9418434698772641,0.7374268334152604,0.019247200328549333,0.019121108747372263,-0.00012609158117707006
7,Amide,21188,0.2667136617112071,20497,0.25801538248511474,-0.00869827922609232,17399,3098,3789,55155,0.8488559301361175,0.8211723617141778,0.8347846947343169,0.9468181896211354,0.05318181037886461,0.17882763828582215,0.6499999761581421,0.2675107419490814,0.8295047879219055,0.0631001740694046,0.7664046287536621,0.957849442884921,0.9145859187331433,0.2635255168593957,0.2667136617112071,0.003188144851811403
8,Amine,33395,0.420374869399932,31830,0.4006747145680442,-0.019700154831887817,29033,2797,4362,43249,0.9121269242852654,0.8693816439586765,0.8902414718282867,0.9392563957781349,0.06074360422186509,0.13061835604132355,0.6000000238418579,0.4238407015800476,0.8789575695991516,0.09376578032970428,0.7851917743682861,0.9621568404059927,0.9604095276967989,0.42334714352476155,0.420374869399932,-0.0029722741248295326
9,Arene,61588,0.7752671794161705,62201,0.7829835978902582,0.007716418474087688,60162,2039,1426,15814,0.9672191765405701,0.9768461388582191,0.972008821462327,0.8857895031647343,0.11421049683526578,0.023153861141780866,0.20000000298023224,0.751269519329071,0.9430844783782959,0.08955996483564377,0.8535245060920715,0.9865354579629494,0.9958433009447157,0.7742230390498505,0.7752671794161705,0.0010441403663200566
10,Azo compound,51,0.0006419858763107211,13,0.00016364345866743874,-0.00047834241764328246,7,6,44,79384,0.5384615384615384,0.13725490196078433,0.21875,0.9999244237309485,7.557626905151782e-05,0.8627450980392157,0.699999988079071,0.00027278874767944217,0.14009679853916168,0.00018296601774636656,0.13991382718086243,0.8277455055583135,0.14826696461727837,0.0007017864083169557,0.0006419858763107211,-5.9800532006234574e-05
11,Carbamate,7735,0.09736785790712604,7246,0.09121234626955854,-0.006155511637567503,6753,493,982,71213,0.9319624620480265,0.8730446024563672,0.9015419531406448,0.9931247036510195,0.006875296348980559,0.12695539754363283,0.8500000238418579,0.09742175787687302,0.8940070271492004,0.011493287980556488,0.8825137615203857,0.9890849064405793,0.9554370750144261,0.09576080098061275,0.09736785790712604,0.0016070569265132922
12,Carboxylic acid,7880,0.09919311186918593,7862,0.09896652861872333,-0.00022658325046260748,7761,101,119,71460,0.9871533960824218,0.9848984771573605,0.9860246474399695,0.9985886167046296,0.0014113832953703833,0.015101522842639594,0.550000011920929,0.09912806004285812,0.9846951365470886,0.0016130941221490502,0.9830820560455322,0.9997053257676511,0.998265250592504,0.10018551707968737,0.09919311186918593,-0.0009924052105014375
13,Enamine,1128,0.014199217028990067,704,0.008861922684759759,-0.005337294344230309,513,191,615,78122,0.7286931818181818,0.45478723404255317,0.5600436681222707,0.9975610690434539,0.002438930956546167,0.5452127659574468,0.6000000238418579,0.009885834529995918,0.464214563369751,0.0033418016973882914,0.4608727693557739,0.9089994999154603,0.5646806590972951,0.01408293353012725,0.014199217028990067,0.00011628349886281739
14,Enol,250,0.003146989589758437,187,0.002353948213139311,-0.0007930413766191262,152,35,98,79156,0.8128342245989305,0.608,0.6956521739130435,0.9995580305842836,0.0004419694157164324,0.392,0.8500000238418579,0.0028617940843105316,0.6461312174797058,0.0008310409029945731,0.6453001499176025,0.9882261873192661,0.7116817127144848,0.0031659063980576567,0.003146989589758437,-1.8916808299219556e-05
15,Ester,14945,0.18812703767575936,13847,0.1743054593975403,-0.013821578278219056,10976,2871,3969,61625,0.7926626706145735,0.7344262295081967,0.7624340094470686,0.9554856115107914,0.044514388489208634,0.26557377049180325,0.75,0.19058626890182495,0.7615419030189514,0.05828455463051796,0.7032573223114014,0.9399768700400601,0.8451665160147308,0.18791825919206445,0.18812703767575936,0.00020877848369491026
16,Ether,44963,0.5659923716972344,49573,0.62402285973238,0.05803048803514558,37771,11802,7192,22676,0.7619268553446432,0.8400462602584348,0.7990818312600491,0.657694761877139,0.34230523812286096,0.1599537397415653,0.30000001192092896,0.5538477301597595,0.7457880973815918,0.30353695154190063,0.44225114583969116,0.8523138196384936,0.8936332579003516,0.5652606286810349,0.5659923716972344,0.0007317430161994931
17,Haloalkane,36735,0.46241865031910473,40660,0.5118263868783122,0.04940773655920746,29052,11608,7683,31098,0.7145105755041811,0.7908534095549203,0.7507461722333484,0.7281880766168688,0.27181192338313115,0.20914659044507963,0.4000000059604645,0.48460668325424194,0.7096735835075378,0.2910078167915344,0.4186657667160034,0.8436530658232069,0.8356335819022558,0.46093362768500173,0.46241865031910473,0.0014850226341029948
18,Hydrazine,941,0.011845268815850758,709,0.008924862476554928,-0.0029204063392958297,612,97,329,78403,0.8631875881523272,0.6503719447396387,0.7418181818181818,0.998764331210191,0.0012356687898089171,0.34962805526036134,0.6499999761581421,0.009557530283927917,0.65626060962677,0.0018053314415737987,0.654455304145813,0.956161726581696,0.7566156784302345,0.010987835177751797,0.011845268815850758,0.0008574336380989603
19,Hydrazone,581,0.0073136038065986075,347,0.00436802155058471,-0.002945582256013897,248,99,333,78761,0.7146974063400576,0.4268502581755594,0.5344827586206896,0.9987446107025107,0.0012553892974892214,0.5731497418244407,0.550000011920929,0.00483205821365118,0.433980256319046,0.0016703137662261724,0.43230995535850525,0.9131206722473386,0.5223372365933916,0.006748793509577181,0.0073136038065986075,0.0005648102970214263
20,Imide,1490,0.018756057954960284,1342,0.01689304011782329,-0.0018630178371369947,1143,199,347,77752,0.8517138599105812,0.7671140939597315,0.8072033898305084,0.9974471142127747,0.0025528857872253083,0.23288590604026846,0.6499999761581421,0.01791450008749962,0.7787181735038757,0.0033720640931278467,0.7753461003303528,0.9829057128385333,0.8645501074910452,0.018587898747641697,0.018756057954960284,0.00016815920731858697
21,Imine,606,0.007628302765574451,372,0.004682720509560555,-0.002945582256013897,262,110,344,78725,0.7043010752688172,0.43234323432343236,0.5357873210633947,0.9986046806621425,0.0013953193378575506,0.5676567656765676,0.44999998807907104,0.004842277150601149,0.42332595586776733,0.0016254180809482932,0.42170053720474243,0.867783728014458,0.4929903037275793,0.00741596265111617,0.007628302765574451,0.00021234011445828063
22,Isocyanate,96,0.0012084440024672399,104,0.00130914766933951,0.00010070366687226999,93,11,3,79334,0.8942307692307693,0.96875,0.93,0.9998613649253261,0.0001386350746738925,0.03125,0.6000000238418579,0.0013305790489539504,0.9764702916145325,0.00015075171540956944,0.9763195514678955,0.9999820141995925,0.9872977728630027,0.0011439433157991632,0.0012084440024672399,6.450068666807667e-05
23,Isothiocyanate,79,0.000994448710363666,70,0.0008811570851323623,-0.00011329162523130374,60,10,19,79352,0.8571428571428571,0.759493670886076,0.8053691275167785,0.9998739951110103,0.0001260048889896928,0.24050632911392406,0.8500000238418579,0.0009993799030780792,0.788637101650238,0.00021533490507863462,0.7884217500686646,0.9846497335235849,0.8429918019531472,0.000923651618121195,0.000994448710363666,7.079709224247109e-05
24,Ketone,6682,0.0841127377550635,6063,0.07632079153082162,-0.00779194622424189,3820,2243,2862,70516,0.6300511298037276,0.5716851242143071,0.5994507650058847,0.9691721986283484,0.030827801371651618,0.4283148757856929,0.550000011920929,0.08023710548877716,0.5763797760009766,0.034672632813453674,0.5417071580886841,0.8995479674775478,0.6527969070032522,0.08683426668827623,0.0841127377550635,-0.00272152893321273
25,Nitrile,5262,0.06623783688523559,4943,0.06222227816870382,-0.004015558716531766,4678,265,584,73914,0.9463888326926967,0.8890155834283542,0.9168054875061245,0.996427560360749,0.003572439639251001,0.11098441657164576,0.5,0.06247175857424736,0.888264536857605,0.0038928946014493704,0.8843716382980347,0.9863183257870757,0.9512488062792956,0.06598365750305654,0.06623783688523559,0.00025417938217904557
26,Phenol,4730,0.05954104303822963,4530,0.05702345136642288,-0.0025175916718067496,4118,412,612,74299,0.9090507726269316,0.8706131078224102,0.8894168466522678,0.9944854171407156,0.005514582859284443,0.12938689217758986,0.8500000238418579,0.061243686825037,0.8945541381835938,0.008486284874379635,0.8860678672790527,0.9944295174558893,0.9514941195366977,0.05792098136804291,0.05954104303822963,0.0016200616701867177
27,Phosphine,55,0.0006923377097468561,23,0.0002895230422577762,-0.00040281466748907994,16,7,39,79379,0.6956521739130435,0.2909090909090909,0.41025641025641024,0.999911823243393,8.81767566069584e-05,0.7090909090909091,0.8500000238418579,0.0004041760985273868,0.3171215355396271,0.00018474881653673947,0.31693679094314575,0.88558871154291,0.3241503343831893,0.0008512700603127198,0.0006923377097468561,-0.00015893235056586364
28,Sulfide,10870,0.13683110736269685,10593,0.1333442428972445,-0.003486864465452348,5782,4811,5088,63760,0.5458321533087889,0.5319227230910764,0.5387876811256581,0.9298391448279885,0.0701608551720115,0.46807727690892365,0.3499999940395355,0.12716062366962433,0.5094379782676697,0.06656132638454437,0.4428766369819641,0.8301265456199503,0.5800032263699287,0.13584916942162414,0.13683110736269685,0.000981937941072708
29,Sulfonamide,3643,0.04585793230195995,3541,0.0445739605493385,-0.0012839717526214422,3256,285,387,75513,0.9195142615080486,0.8937688718089487,0.9064587973273942,0.9962400063326209,0.0037599936673790866,0.10623112819105134,0.800000011920929,0.04777073115110397,0.9129295349121094,0.006189508363604546,0.9067400097846985,0.9971012734143627,0.9610985180972937,0.04584584931103772,0.04585793230195995,1.2082990922229753e-05
30,Sulfonate,909,0.011442454148361677,888,0.011178107022821968,-0.00026434712553970874,839,49,70,78483,0.9448198198198198,0.922992299229923,0.9337785197551475,0.9993760505271736,0.0006239494728263637,0.07700770077007701,0.75,0.01162779051810503,0.9312294125556946,0.0009834938682615757,0.9302459359169006,0.9983352241911911,0.9683138013525838,0.011256905751344172,0.011442454148361677,0.0001855483970175046
31,Sulfone,1926,0.024244407799499,1809,0.02277161667149205,-0.0014727911280069486,1601,208,325,77307,0.8850193477059148,0.8312564901349948,0.8572958500669344,0.997316648390634,0.0026833516093659293,0.1687435098650052,0.8500000238418579,0.02555769868195057,0.8638256788253784,0.004729417152702808,0.8590962886810303,0.9935887764730358,0.9193694934387973,0.023922104855701072,0.024244407799499,0.0003223029437979287
32,Sulfonic acid,3,3.7763875077101246e-05,0,0.0,-3.7763875077101246e-05,0,0,3,79438,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.1901695273763835e-07,0.0010017793392762542,8.118894356812234e-08,0.0010016981977969408,0.8920793574863415,0.3381342777204577,1.1014584883898407e-05,3.7763875077101246e-05,2.674929019320284e-05
33,Sulfoxide,403,0.005072947218690601,255,0.003209929381553606,-0.0018630178371369947,146,109,257,78929,0.5725490196078431,0.36228287841191065,0.44376899696048633,0.998620916521167,0.0013790834788329665,0.6377171215880894,0.44999998807907104,0.0033690128475427628,0.3575388193130493,0.0015631670830771327,0.3559756577014923,0.8762559291610649,0.4038727071385838,0.0057527603336475115,0.005072947218690601,-0.0006798131149569108
34,Thial,1,1.2587958359033748e-05,0,0.0,-1.2587958359033748e-05,0,0,1,79440,0.0,0.0,0.0,1.0,0.0,1.0,0.10000000149011612,1.3321047163117328e-06,0.00027586790383793414,1.328648863818671e-06,0.00027453925576992333,0.9997104733131924,0.041666666666666664,6.451399717711925e-05,1.2587958359033748e-05,-5.19260388180855e-05
35,Thioamide,602,0.007577950932138316,443,0.005576465553051951,-0.002001485379086366,354,89,248,78750,0.7990970654627539,0.5880398671096345,0.6775119617224881,0.998871117086721,0.001128882913278961,0.4119601328903654,0.6499999761581421,0.006213557906448841,0.601084291934967,0.00167123565915972,0.5994130373001099,0.9505911981181717,0.6770845784326928,0.007579607912248376,0.007577950932138316,-1.6569801100600051e-06
36,Thiol,291,0.003663095882478821,274,0.003449100590375247,-0.00021399529210357372,258,16,33,79134,0.9416058394160584,0.8865979381443299,0.9132743362831859,0.9997978521794062,0.00020214782059380923,0.1134020618556701,0.75,0.003540300764143467,0.8937292098999023,0.0002674651623237878,0.8934617638587952,0.9907325036415697,0.9311435054227102,0.003575019550888169,0.003663095882478821,8.807633159065194e-05
