class_index,label,threshold,prob_p01,prob_p05,prob_p25,prob_p50,prob_p75,prob_p95,prob_p99,true_sample_prob_p50,negative_sample_prob_p50
0,Acid anhydride,0.6499999761581421,8.905034597930699e-19,4.4268866734155723e-17,2.1542470362906005e-14,2.2319958381533667e-12,2.423531930695333e-10,1.8266257484356174e-07,2.1378195015131496e-05,0.09975821524858475,2.197391791095016e-12
1,Acyl halide,0.550000011920929,5.175554941819762e-17,2.6545533993334574e-15,1.463778534147031e-12,1.4026325934057837e-10,1.3652065256053447e-08,1.7640199075685814e-05,0.012222417630255222,0.22541658580303192,1.3594780856607258e-10
2,Alcohol,0.30000001192092896,7.176969741001191e-25,9.493638324182762e-22,3.341589644671293e-17,2.244777036778875e-13,0.9956005811691284,0.9998162388801575,0.9999184608459473,0.9994745850563049,1.71390848833098e-15
3,Aldehyde,0.8500000238418579,5.023876280461985e-20,1.4371996790951614e-17,7.519061328425947e-14,4.3451534037508566e-11,3.32653300461061e-08,0.0016613906482234597,0.9996205568313599,0.9890968799591064,3.2290437684823203e-11
4,Alkane,0.10000000149011612,0.039048291742801666,0.18432661890983582,0.7455836534500122,0.9488224983215332,0.9937587976455688,0.9998499155044556,0.9999895095825195,0.9552357196807861,0.11777491867542267
5,Alkene,0.8500000238418579,2.6283636170603873e-16,7.637469080562162e-14,4.388449326153676e-10,2.5759553068382957e-07,0.0002824080875143409,0.9994450211524963,0.9999997615814209,0.9949592351913452,7.380236866083578e-08
6,Alkyne,0.699999988079071,3.597959076088348e-19,7.298702250244524e-17,2.108772954433763e-13,6.127648388698503e-11,2.0176445403308207e-08,0.0001686527393758297,0.9933485388755798,0.9946568012237549,5.001240394042483e-11
7,Amide,0.6499999761581421,1.0498962369788738e-14,2.6094671128767954e-12,1.430724250184312e-08,2.3007036361377686e-05,0.7534666657447815,0.9999842643737793,0.9999995231628418,0.9991374015808105,4.812516181118554e-07
8,Amine,0.6000000238418579,0.0002461390686221421,0.0009004466701298952,0.006930672097951174,0.08299414813518524,0.9999858140945435,1.0,1.0,0.9999992847442627,0.010013571009039879
9,Arene,0.20000000298023224,0.0010362669127061963,0.0031850608065724373,0.5294762849807739,0.9992114305496216,0.9999929666519165,1.0,1.0,0.9999053478240967,0.00985985528677702
