sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
377641,8,2,10,Alcohol | Alkane | Alkene | Amide | Enamine | Enol | Ester | Ether | Ketone,Alkane | Amine | Arene,Alcohol | Alkene | Amide | Enamine | Enol | Ester | Ether | Ketone,Amine | Arene,Alcohol=0.0000 | Alkene=0.0000 | Amide=0.0089 | Enamine=0.0000 | Enol=0.0000 | Ester=0.0005 | Ether=0.1334 | Ketone=0.1047,Amine=0.9350 | Arene=0.9705
789012,3,6,9,Alkane | Amide | Amine | Arene | Imide,Alcohol | Alkane | Alkene | Arene | Enol | Ether | Haloalkane | Phenol,Amide | Amine | Imide,Alcohol | Alkene | Enol | Ether | Haloalkane | Phenol,Amide=0.4161 | Amine=0.0296 | Imide=0.0003,Alcohol=0.9866 | Alkene=0.9997 | Enol=0.9984 | Ether=0.4564 | Haloalkane=0.5902 | Phenol=0.8846
745684,7,2,9,Alkane | Alkene | Amine | Enamine | Ester | Ether | Haloalkane | Imine,Alcohol | Alkane | Carboxylic acid,Alkene | Amine | Enamine | Ester | Ether | Haloalkane | Imine,Alcohol | Carboxylic acid,Alkene=0.0000 | Amine=0.0098 | Enamine=0.0000 | Ester=0.0000 | Ether=0.1873 | Haloalkane=0.2230 | Imine=0.0000,Alcohol=0.9998 | Carboxylic acid=1.0000
403839,5,4,9,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Ketone | Sulfide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Phenol,Alkene | Amine | Enamine | Ketone | Sulfide,Alcohol | Ester | Ether | Phenol,Alkene=0.0002 | Amine=0.0088 | Enamine=0.0000 | Ketone=0.0000 | Sulfide=0.0000,Alcohol=0.9887 | Ester=0.9292 | Ether=0.9604 | Phenol=0.9938
629730,5,3,8,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ketone | Sulfide,Alkane | Amide | Arene | Ester | Ether | Haloalkane,Alkene | Amine | Enamine | Ketone | Sulfide,Ester | Ether | Haloalkane,Alkene=0.0009 | Amine=0.0090 | Enamine=0.0000 | Ketone=0.4976 | Sulfide=0.0051,Ester=0.9842 | Ether=0.9971 | Haloalkane=0.4016
702695,5,3,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enamine | Enol | Sulfide | Sulfonamide,Alcohol | Alkane | Amide | Arene | Haloalkane | Ketone | Phenol | Sulfonamide,Alkene | Amine | Enamine | Enol | Sulfide,Haloalkane | Ketone | Phenol,Alkene=0.0000 | Amine=0.2362 | Enamine=0.0000 | Enol=0.0005 | Sulfide=0.0001,Haloalkane=0.8271 | Ketone=0.8029 | Phenol=0.9990
36886,4,4,8,Alkane | Alkene | Amine | Arene | Enamine | Ether | Hydrazine,Alkane | Amide | Amine | Arene | Haloalkane | Hydrazone | Sulfide,Alkene | Enamine | Ether | Hydrazine,Amide | Haloalkane | Hydrazone | Sulfide,Alkene=0.0831 | Enamine=0.5405 | Ether=0.1258 | Hydrazine=0.0175,Amide=0.8803 | Haloalkane=0.9350 | Hydrazone=0.9244 | Sulfide=0.4270
152923,5,3,8,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Haloalkane | Hydrazine | Sulfide,Alcohol | Alkane | Alkene | Arene | Carboxylic acid | Ether | Ketone,Amide | Amine | Haloalkane | Hydrazine | Sulfide,Alkene | Ether | Ketone,Amide=0.0156 | Amine=0.0079 | Haloalkane=0.3382 | Hydrazine=0.0000 | Sulfide=0.0185,Alkene=0.9958 | Ether=0.8192 | Ketone=0.9043
242781,4,4,8,Alkane | Alkene | Amide | Amine | Enamine | Sulfide,Alkane | Amine | Arene | Ester | Ether | Haloalkane,Alkene | Amide | Enamine | Sulfide,Arene | Ester | Ether | Haloalkane,Alkene=0.1542 | Amide=0.3607 | Enamine=0.0003 | Sulfide=0.0589,Arene=0.3121 | Ester=1.0000 | Ether=0.9996 | Haloalkane=0.7373
349838,6,2,8,Alkane | Alkene | Amine | Enamine | Ester | Ether | Haloalkane,Alkane | Amide | Arene,Alkene | Amine | Enamine | Ester | Ether | Haloalkane,Amide | Arene,Alkene=0.0007 | Amine=0.4003 | Enamine=0.0178 | Ester=0.0014 | Ether=0.1520 | Haloalkane=0.1069,Amide=0.9986 | Arene=0.3228
411949,6,2,8,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Isothiocyanate,Alkane | Haloalkane | Isothiocyanate | Sulfide,Alkene | Amine | Arene | Enamine | Ester | Ether,Haloalkane | Sulfide,Alkene=0.0070 | Amine=0.1462 | Arene=0.1468 | Enamine=0.0048 | Ester=0.0794 | Ether=0.1854,Haloalkane=0.6545 | Sulfide=0.8692
423360,6,2,8,Alcohol | Alkane | Alkene | Arene | Carboxylic acid | Enol | Ester | Ether | Sulfide,Alcohol | Arene | Carboxylic acid | Ketone | Phenol,Alkane | Alkene | Enol | Ester | Ether | Sulfide,Ketone | Phenol,Alkane=0.0624 | Alkene=0.0000 | Enol=0.0000 | Ester=0.0000 | Ether=0.0511 | Sulfide=0.0051,Ketone=0.9954 | Phenol=0.9445
1934,6,2,8,Alkane | Alkene | Amide | Amine | Enamine | Haloalkane | Sulfide | Sulfonamide,Alkane | Amine | Arene | Ether,Alkene | Amide | Enamine | Haloalkane | Sulfide | Sulfonamide,Arene | Ether,Alkene=0.0222 | Amide=0.0009 | Enamine=0.0004 | Haloalkane=0.1360 | Sulfide=0.0310 | Sulfonamide=0.3529,Arene=0.4695 | Ether=0.4214
14296,5,3,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Carboxylic acid | Enol | Ether | Ketone,Alcohol | Amide | Amine | Arene | Carboxylic acid | Haloalkane | Phenol | Sulfide,Alkane | Alkene | Enol | Ether | Ketone,Haloalkane | Phenol | Sulfide,Alkane=0.0740 | Alkene=0.0000 | Enol=0.0000 | Ether=0.0859 | Ketone=0.0000,Haloalkane=0.6855 | Phenol=0.9828 | Sulfide=0.9971
422790,3,5,8,Alkane | Amide | Arene | Haloalkane,Alkane | Amine | Enamine | Ester | Ether | Sulfide,Amide | Arene | Haloalkane,Amine | Enamine | Ester | Ether | Sulfide,Amide=0.0013 | Arene=0.1935 | Haloalkane=0.2288,Amine=0.9425 | Enamine=0.7299 | Ester=0.9973 | Ether=0.9546 | Sulfide=0.9992
432630,5,3,8,Alcohol | Alkane | Amine | Arene | Carboxylic acid | Haloalkane | Sulfide,Alkane | Alkyne | Arene | Ester | Ether,Alcohol | Amine | Carboxylic acid | Haloalkane | Sulfide,Alkyne | Ester | Ether,Alcohol=0.0314 | Amine=0.2074 | Carboxylic acid=0.2750 | Haloalkane=0.1380 | Sulfide=0.0482,Alkyne=0.9548 | Ester=0.9931 | Ether=0.9912
140,5,3,8,Alkane | Amide | Amine | Arene | Carbamate | Ether | Haloalkane | Hydrazone | Imide | Sulfide,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane,Amide | Carbamate | Hydrazone | Imide | Sulfide,Alkene | Enamine | Ester,Amide=0.3177 | Carbamate=0.1719 | Hydrazone=0.0000 | Imide=0.1618 | Sulfide=0.0075,Alkene=0.9052 | Enamine=0.9068 | Ester=0.7873
197156,6,2,8,Alkane | Alkene | Amide | Amine | Arene | Enamine | Hydrazine | Ketone | Nitrile | Sulfide,Alkane | Amide | Amine | Arene | Ether | Haloalkane,Alkene | Enamine | Hydrazine | Ketone | Nitrile | Sulfide,Ether | Haloalkane,Alkene=0.0000 | Enamine=0.0000 | Hydrazine=0.0000 | Ketone=0.0000 | Nitrile=0.0022 | Sulfide=0.0075,Ether=0.3087 | Haloalkane=0.4965
661538,5,3,8,Alcohol | Alkane | Alkene | Arene | Carbamate | Enol | Ether | Ketone | Thioamide,Alcohol | Alkane | Amide | Ester | Ether | Ketone | Sulfide,Alkene | Arene | Carbamate | Enol | Thioamide,Amide | Ester | Sulfide,Alkene=0.0991 | Arene=0.0712 | Carbamate=0.0026 | Enol=0.2798 | Thioamide=0.0049,Amide=0.9313 | Ester=0.9998 | Sulfide=0.9999
43866,5,3,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enamine | Enol | Sulfonamide,Alcohol | Alkane | Arene | Ether | Sulfide | Sulfonamide | Sulfone,Alkene | Amide | Amine | Enamine | Enol,Ether | Sulfide | Sulfone,Alkene=0.1546 | Amide=0.0000 | Amine=0.5601 | Enamine=0.0615 | Enol=0.0849,Ether=0.5380 | Sulfide=0.9970 | Sulfone=0.9026
704818,5,3,8,Alkane | Alkene | Amine | Enamine | Imine | Sulfoxide,Alkane | Ester | Ether | Haloalkane,Alkene | Amine | Enamine | Imine | Sulfoxide,Ester | Ether | Haloalkane,Alkene=0.0000 | Amine=0.0100 | Enamine=0.0000 | Imine=0.0000 | Sulfoxide=0.0000,Ester=0.9078 | Ether=0.9983 | Haloalkane=0.7200
318008,6,2,8,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Haloalkane | Imide | Ketone,Alcohol | Alkane | Arene | Ether | Phenol,Alkene | Amide | Enol | Haloalkane | Imide | Ketone,Ether | Phenol,Alkene=0.0028 | Amide=0.0012 | Enol=0.0005 | Haloalkane=0.1308 | Imide=0.0005 | Ketone=0.0000,Ether=0.5462 | Phenol=0.9986
761263,2,5,7,Alkane | Alkene | Arene | Ketone | Sulfonate,Alkane | Amide | Amine | Arene | Ester | Ether | Sulfonamide | Sulfonate,Alkene | Ketone,Amide | Amine | Ester | Ether | Sulfonamide,Alkene=0.0392 | Ketone=0.0668,Amide=0.9258 | Amine=0.8133 | Ester=0.9449 | Ether=0.8572 | Sulfonamide=0.9925
668131,5,2,7,Alkane | Amine | Arene | Ester | Ether | Haloalkane,Alkane | Amide | Sulfide,Amine | Arene | Ester | Ether | Haloalkane,Amide | Sulfide,Amine=0.4354 | Arene=0.0473 | Ester=0.0000 | Ether=0.0804 | Haloalkane=0.0781,Amide=0.9914 | Sulfide=0.9959
204970,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Ketone,Aldehyde | Alkane,Alkene | Amine | Arene | Enamine | Haloalkane | Ketone,Aldehyde,Alkene=0.0000 | Amine=0.0003 | Arene=0.1021 | Enamine=0.0000 | Haloalkane=0.3746 | Ketone=0.0002,Aldehyde=0.9649
170787,3,4,7,Alcohol | Alkane | Alkene | Carboxylic acid | Enol | Ester | Ether | Sulfide,Alcohol | Alkane | Arene | Carboxylic acid | Ester | Ether | Haloalkane | Ketone | Phenol,Alkene | Enol | Sulfide,Arene | Haloalkane | Ketone | Phenol,Alkene=0.0000 | Enol=0.0001 | Sulfide=0.0837,Arene=0.2923 | Haloalkane=0.8588 | Ketone=0.9331 | Phenol=0.9971
386178,4,3,7,Amide | Arene | Haloalkane | Imide | Ketone,Alkane | Ester | Ether | Haloalkane,Amide | Arene | Imide | Ketone,Alkane | Ester | Ether,Amide=0.0006 | Arene=0.0373 | Imide=0.4138 | Ketone=0.0000,Alkane=0.9514 | Ester=0.9981 | Ether=0.9891
308937,5,2,7,Alkane | Amine | Arene | Carbamate | Ether | Sulfide | Thioamide,Alkane | Amide | Arene | Haloalkane,Amine | Carbamate | Ether | Sulfide | Thioamide,Amide | Haloalkane,Amine=0.0742 | Carbamate=0.0000 | Ether=0.2235 | Sulfide=0.0001 | Thioamide=0.0000,Amide=0.9664 | Haloalkane=0.9914
324244,7,0,7,Alcohol | Alkane | Amide | Arene | Ester | Ether | Haloalkane | Hydrazone | Phenol | Sulfide,Alkane | Arene | Haloalkane,Alcohol | Amide | Ester | Ether | Hydrazone | Phenol | Sulfide,,Alcohol=0.0007 | Amide=0.0000 | Ester=0.0001 | Ether=0.2951 | Hydrazone=0.0000 | Phenol=0.0050 | Sulfide=0.0006,
598172,4,3,7,Alcohol | Alkene | Amide | Arene | Enamine | Enol | Haloalkane,Alcohol | Alkane | Arene | Ether | Haloalkane | Phenol,Alkene | Amide | Enamine | Enol,Alkane | Ether | Phenol,Alkene=0.0010 | Amide=0.0000 | Enamine=0.0000 | Enol=0.0017,Alkane=0.6825 | Ether=0.9776 | Phenol=0.9961
66666,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ether | Hydrazone,Alkane | Arene | Haloalkane | Hydrazone | Sulfide,Alkene | Amide | Amine | Enamine | Ether,Haloalkane | Sulfide,Alkene=0.0006 | Amide=0.0029 | Amine=0.5737 | Enamine=0.0005 | Ether=0.2098,Haloalkane=0.6397 | Sulfide=0.9996
527977,5,2,7,Alcohol | Alkane | Amide | Amine | Carbamate | Ether | Hydrazine | Phenol,Alkane | Amine | Arene | Ether | Haloalkane,Alcohol | Amide | Carbamate | Hydrazine | Phenol,Arene | Haloalkane,Alcohol=0.0384 | Amide=0.0024 | Carbamate=0.0001 | Hydrazine=0.0000 | Phenol=0.0000,Arene=0.8160 | Haloalkane=0.9356
218046,4,3,7,Alkane | Alkene | Amine | Arene | Enamine | Ether | Imine | Ketone | Sulfide,Alkane | Amide | Amine | Arene | Ester | Ether | Haloalkane | Sulfide,Alkene | Enamine | Imine | Ketone,Amide | Ester | Haloalkane,Alkene=0.0000 | Enamine=0.0000 | Imine=0.0000 | Ketone=0.0000,Amide=0.8560 | Ester=0.9998 | Haloalkane=0.7314
