false_negative_true_label__vs__false_positive_predicted_label,Acid anhydride,Acyl halide,Alcohol,Aldehyde,Alkane,Alkene,Alkyne,Amide,Amine,Arene,Azo compound,Carbamate,Carboxylic acid,Enamine,Enol,Ester,Ether,Haloalkane,Hydrazine,Hydrazone,Imide,Imine,Isocyanate,Isothiocyanate,Ketone,Nitrile,Phenol,Phosphine,Sulfide,Sulfonamide,Sulfonate,Sulfone,Sulfonic acid,Sulfoxide,Thial,Thioamide,Thiol
Acid anhydride,0,0,0,0,2,1,0,5,2,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0
Acyl halide,1,0,0,4,7,2,0,11,14,4,0,2,0,2,0,27,46,0,0,0,1,0,0,1,30,0,1,0,18,1,0,1,0,0,0,0,0
Alcohol,0,0,0,0,9,9,2,8,24,11,0,0,0,0,0,11,50,48,2,0,0,0,0,0,6,4,0,0,30,2,0,1,0,0,0,1,0
Aldehyde,0,6,3,0,40,30,1,34,52,30,0,11,0,4,0,44,172,171,2,2,4,2,0,1,35,8,1,0,69,2,0,2,0,1,0,1,1
Alkane,1,1,9,3,0,26,1,30,15,22,0,1,14,2,0,2,25,175,2,0,4,1,0,1,11,7,21,1,74,2,0,0,0,0,0,1,2
Alkene,0,11,17,20,83,0,8,170,202,135,0,25,6,4,0,145,622,634,9,7,14,10,1,2,130,23,51,0,299,12,5,12,0,7,0,4,0
Alkyne,0,2,0,2,12,23,0,26,20,14,0,3,0,1,0,23,103,131,0,1,1,3,3,0,22,6,3,0,54,6,0,3,0,1,0,0,1
Amide,0,11,20,16,71,63,4,0,287,117,0,87,6,13,7,250,873,581,11,7,6,9,0,1,237,19,33,0,280,10,2,14,0,7,0,15,0
Amine,0,14,41,17,59,142,6,336,0,158,0,57,8,9,7,234,923,867,4,9,19,4,1,0,179,20,45,0,288,3,10,33,0,13,0,3,0
Arene,0,1,9,8,20,54,4,57,63,0,0,15,9,6,2,70,165,186,3,3,3,0,0,1,39,11,6,0,132,3,1,5,0,2,0,0,1
Azo compound,0,0,0,1,3,0,3,2,0,1,0,0,2,0,0,3,16,9,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
Carbamate,0,3,4,6,7,23,2,153,60,25,0,0,1,8,0,113,3,160,2,4,5,6,0,0,41,4,5,0,91,3,0,1,0,0,0,1,0
Carboxylic acid,0,0,0,0,5,5,1,8,9,6,0,1,0,0,0,14,24,17,0,1,0,0,0,0,4,6,16,0,15,1,0,1,0,0,0,1,0
Enamine,0,1,7,5,14,0,1,44,14,45,0,4,1,0,0,39,110,122,1,5,3,2,0,0,29,5,11,0,67,4,0,2,0,2,0,1,0
Enol,0,0,0,1,4,0,0,6,6,11,0,0,1,0,0,3,20,18,0,0,1,0,0,0,8,0,36,0,13,0,0,2,0,0,0,0,0
Ester,0,17,22,16,12,73,5,261,174,113,1,96,8,16,1,0,0,693,5,8,15,12,0,1,285,26,29,0,316,12,6,14,0,4,0,7,1
Ether,0,18,34,32,92,131,18,396,321,179,0,0,15,23,2,0,0,1299,9,15,25,17,0,1,302,49,55,0,592,32,5,29,0,13,0,9,3
Haloalkane,2,2,37,47,204,216,15,322,350,218,1,62,9,26,4,365,1352,0,10,11,25,20,3,2,257,42,73,2,584,34,7,28,0,6,0,8,3
Hydrazine,0,0,7,0,8,8,1,24,7,15,0,3,3,0,0,25,63,67,0,2,2,0,0,0,18,1,4,0,48,6,0,1,0,1,0,0,0
Hydrazone,0,0,0,1,6,9,2,34,17,2,0,8,0,7,0,23,76,54,3,0,3,2,0,0,30,4,0,0,29,2,0,1,0,0,0,3,0
Imide,0,0,7,1,7,13,0,5,20,6,0,9,0,4,1,30,70,65,1,2,0,0,0,0,20,3,7,0,34,1,1,0,0,0,0,4,0
Imine,0,3,4,5,9,15,1,27,19,5,0,6,1,0,0,33,94,64,1,2,2,0,0,1,38,1,4,0,32,2,0,0,0,0,0,1,0
Isocyanate,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isothiocyanate,0,0,1,0,0,2,0,2,1,4,0,0,0,0,0,2,1,5,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
Ketone,1,16,10,19,41,64,2,272,106,66,0,27,6,7,1,309,626,497,3,8,17,12,2,0,0,18,21,0,235,5,1,15,0,6,0,4,0
Nitrile,0,1,4,4,16,10,3,36,20,36,0,2,1,2,1,30,113,155,0,0,2,2,1,1,17,0,1,0,50,4,0,5,0,0,0,0,0
Phenol,0,0,0,1,12,25,0,23,35,16,0,2,26,1,6,22,118,144,2,0,0,0,0,0,19,6,0,0,53,2,0,1,0,0,0,0,0
Phosphine,0,0,2,0,1,2,0,1,1,1,0,1,0,0,0,0,12,18,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0
Sulfide,0,11,18,30,122,172,13,261,205,169,1,54,7,26,2,252,923,1143,10,8,25,6,0,2,197,39,35,1,0,16,7,21,0,23,0,10,1
Sulfonamide,0,0,6,0,2,10,0,20,10,15,0,4,1,0,0,19,69,62,0,0,0,0,0,0,11,0,11,0,34,0,10,53,0,1,0,2,0
