missed_true_label_index,missed_true_label,wrong_predicted_label_index,wrong_predicted_label,count
17,Haloalkane,16,Ether,1352
16,Ether,17,Haloalkane,1299
28,Sulfide,17,Haloalkane,1143
8,Amine,16,Ether,923
28,Sulfide,16,Ether,923
7,Amide,16,Ether,873
8,Amine,17,Haloalkane,867
15,Ester,17,Haloalkane,693
5,Alkene,17,Haloalkane,634
24,Ketone,16,Ether,626
5,Alkene,16,Ether,622
16,Ether,28,Sulfide,592
17,Haloalkane,28,Sulfide,584
7,Amide,17,Haloalkane,581
24,Ketone,17,Haloalkane,497
16,Ether,7,Amide,396
17,Haloalkane,15,Ester,365
17,Haloalkane,8,Amine,350
8,Amine,7,Amide,336
17,Haloalkane,7,Amide,322
16,Ether,8,Amine,321
15,Ester,28,Sulfide,316
24,Ketone,15,Ester,309
16,Ether,24,Ketone,302
5,Alkene,28,Sulfide,299
8,Amine,28,Sulfide,288
7,Amide,8,Amine,287
15,Ester,24,Ketone,285
7,Amide,28,Sulfide,280
24,Ketone,7,Amide,272
15,Ester,7,Amide,261
28,Sulfide,7,Amide,261
17,Haloalkane,24,Ketone,257
28,Sulfide,15,Ester,252
7,Amide,15,Ester,250
7,Amide,24,Ketone,237
24,Ketone,28,Sulfide,235
8,Amine,15,Ester,234
17,Haloalkane,9,Arene,218
17,Haloalkane,5,Alkene,216
28,Sulfide,8,Amine,205
17,Haloalkane,4,Alkane,204
5,Alkene,8,Amine,202
28,Sulfide,24,Ketone,197
9,Arene,17,Haloalkane,186
8,Amine,24,Ketone,179
16,Ether,9,Arene,179
4,Alkane,17,Haloalkane,175
15,Ester,8,Amine,174
3,Aldehyde,16,Ether,172
28,Sulfide,5,Alkene,172
3,Aldehyde,17,Haloalkane,171
5,Alkene,7,Amide,170
28,Sulfide,9,Arene,169
9,Arene,16,Ether,165
11,Carbamate,17,Haloalkane,160
8,Amine,9,Arene,158
25,Nitrile,17,Haloalkane,155
11,Carbamate,7,Amide,153
5,Alkene,15,Ester,145
26,Phenol,17,Haloalkane,144
8,Amine,5,Alkene,142
5,Alkene,9,Arene,135
9,Arene,28,Sulfide,132
6,Alkyne,17,Haloalkane,131
16,Ether,5,Alkene,131
5,Alkene,24,Ketone,130
13,Enamine,17,Haloalkane,122
28,Sulfide,4,Alkane,122
26,Phenol,16,Ether,118
7,Amide,9,Arene,117
11,Carbamate,15,Ester,113
15,Ester,9,Arene,113
25,Nitrile,16,Ether,113
13,Enamine,16,Ether,110
24,Ketone,8,Amine,106
6,Alkyne,16,Ether,103
15,Ester,11,Carbamate,96
21,Imine,16,Ether,94
16,Ether,4,Alkane,92
11,Carbamate,28,Sulfide,91
7,Amide,11,Carbamate,87
5,Alkene,4,Alkane,83
33,Sulfoxide,16,Ether,79
19,Hydrazone,16,Ether,76
4,Alkane,28,Sulfide,74
15,Ester,5,Alkene,73
17,Haloalkane,26,Phenol,73
7,Amide,4,Alkane,71
9,Arene,15,Ester,70
20,Imide,16,Ether,70
35,Thioamide,7,Amide,70
3,Aldehyde,28,Sulfide,69
29,Sulfonamide,16,Ether,69
31,Sulfone,16,Ether,69
13,Enamine,28,Sulfide,67
18,Hydrazine,17,Haloalkane,67
31,Sulfone,17,Haloalkane,67
33,Sulfoxide,17,Haloalkane,67
24,Ketone,9,Arene,66
