label,f1_mps,f1_ttn,delta_mps_minus_ttn,selected_branch
Acid anhydride,0.064635269343853,0.001712025492452085,0.06292324513196945,mps
Acyl halide,0.3860103487968445,0.01434362307190895,0.37166672945022583,mps
Alcohol,0.9618834257125854,0.422960489988327,0.538922905921936,mps
Aldehyde,0.5185806155204773,0.04996496066451073,0.46861565113067627,mps
Alkane,0.9812317490577698,0.984414279460907,-0.003182530403137207,ttn
Alkene,0.49722737073898315,0.2071567326784134,0.29007065296173096,mps
Alkyne,0.5140655040740967,0.0375974215567112,0.4764680862426758,mps
Amide,0.7024736404418945,0.4183794856071472,0.2840941548347473,mps
Amine,0.8042449355125427,0.5943129062652588,0.20993202924728394,mps
Arene,0.8727775812149048,0.9508014917373657,-0.07802391052246094,ttn
Azo compound,0.052805282175540924,0.002201188588514924,0.050604093819856644,mps
Carbamate,0.8129940629005432,0.38157960772514343,0.4314144551753998,mps
Carboxylic acid,0.9679620862007141,0.1826651394367218,0.7852969169616699,mps
Enamine,0.28246912360191345,0.032047513872385025,0.2504216134548187,mps
Enol,0.29686012864112854,0.006575881503522396,0.29028424620628357,mps
Ester,0.6360152959823608,0.31666383147239685,0.319351464509964,mps
Ether,0.7225465178489685,0.743655800819397,-0.021109282970428467,ttn
Haloalkane,0.6310238838195801,0.678867518901825,-0.04784363508224487,ttn
Hydrazine,0.5704742670059204,0.021936705335974693,0.54853755235672,mps
Hydrazone,0.20097561180591583,0.01392858661711216,0.18704701960086823,mps
Imide,0.5810983180999756,0.03772564232349396,0.5433726906776428,mps
Imine,0.22262443602085114,0.01486942358314991,0.20775501430034637,mps
Isocyanate,0.0027339712250977755,0.9340101480484009,-0.9312762022018433,ttn
Isothiocyanate,0.5714285969734192,0.0018628302495926619,0.5695657730102539,mps
Ketone,0.3803340494632721,0.16100718080997467,0.21932686865329742,mps
Nitrile,0.12375857681035995,0.9068359732627869,-0.7830774188041687,ttn
Phenol,0.758884847164154,0.13763327896595,0.6212515830993652,mps
Phosphine,0.13508442044258118,0.0017217678250744939,0.13336265087127686,mps
Sulfide,0.3277240991592407,0.23937855660915375,0.08834554255008698,mps
Sulfonamide,0.7642510533332825,0.08783353120088577,0.6764175295829773,mps
Sulfonate,0.8401287794113159,0.022581927478313446,0.8175468444824219,mps
Sulfone,0.6394091248512268,0.046836968511343,0.5925721526145935,mps
Sulfonic acid,0.0001063038143911399,0.0011841326486319304,-0.0010778288124129176,ttn
Sulfoxide,0.29216468334198,0.011418390087783337,0.2807462811470032,mps
Thial,0.0001258716656593606,0.00013775053957942873,-1.1878873920068145e-05,ttn
Thioamide,0.4377610683441162,0.015066713094711304,0.4226943552494049,mps
Thiol,0.8364887833595276,0.0104103097692132,0.826078474521637,mps
