class,f1,precision,recall,support,tp,fp,fn,tn
Acid anhydride,0.0000,0.0000,0.0000,0,0,824,0,795
Acyl halide,0.0092,0.0046,0.7500,8,6,1289,2,322
Alcohol,0.4352,0.2862,0.9072,442,401,1000,41,177
Aldehyde,0.0376,0.0191,1.0000,31,31,1588,0,0
Alkane,0.8976,0.9611,0.8420,1557,1311,53,246,9
Alkene,0.0099,0.2500,0.0050,199,1,3,198,1417
Alkyne,0.0000,0.0000,0.0000,28,0,29,28,1562
Amide,0.3629,0.2548,0.6303,422,266,778,156,419
Amine,0.4471,0.4094,0.4924,656,323,466,333,497
Arene,0.7950,0.7828,0.8076,1263,1020,283,243,73
Azo compound,0.0000,0.0000,0.0000,0,0,0,0,1619
Carbamate,0.1759,0.0971,0.9351,154,144,1339,10,126
Carboxylic acid,0.1837,0.1035,0.8176,170,139,1204,31,245
Enamine,0.0375,0.0195,0.4762,21,10,503,11,1095
Enol,0.0000,0.0000,0.0000,3,0,0,3,1616
Ester,0.2993,0.2127,0.5047,319,161,596,158,704
Ether,0.3736,0.5888,0.2736,921,252,176,669,522
Haloalkane,0.5822,0.4582,0.7984,734,586,693,148,192
Hydrazine,0.0000,0.0000,0.0000,11,0,15,11,1593
Hydrazone,0.0068,0.0035,0.2222,9,2,576,7,1034
Imide,0.0000,0.0000,0.0000,30,0,2,30,1587
Imine,0.0081,0.0041,0.3333,9,3,732,6,878
Isocyanate,0.0000,0.0000,0.0000,1,0,192,1,1426
Isothiocyanate,0.0000,0.0000,0.0000,0,0,10,0,1609
Ketone,0.1713,0.0938,0.9805,154,151,1458,3,7
Nitrile,0.1302,0.0719,0.6917,120,83,1072,37,427
Phenol,0.1281,0.0714,0.6190,105,65,845,40,669
Phosphine,0.0000,0.0000,0.0000,0,0,0,0,1619
Sulfide,0.1920,0.1265,0.3981,206,82,566,124,847
Sulfonamide,0.0911,0.0477,0.9863,73,72,1436,1,110
Sulfonate,0.0244,0.0124,1.0000,20,20,1596,0,3
Sulfone,0.0000,0.0000,0.0000,56,0,0,56,1563
Sulfonic acid,0.0000,0.0000,0.0000,0,0,0,0,1619
Sulfoxide,0.0000,0.0000,0.0000,8,0,139,8,1472
Thial,0.0000,0.0000,0.0000,0,0,0,0,1619
Thioamide,0.0113,0.0057,0.4286,7,3,519,4,1093
Thiol,0.0000,0.0000,0.0000,7,0,13,7,1599
