class,f1,precision,recall,support,tp,fp,fn,tn
Azo compound,0.0201,0.0121,0.0588,51,3,245,48,79145
Hydrazone,0.1536,0.1660,0.1429,581,83,417,498,78443
Imine,0.1725,0.2432,0.1337,606,81,252,525,78583
Thial,0.0000,0.0000,0.0000,1,0,1317,1,78123
Acyl halide,0.3448,0.3931,0.3071,407,125,193,282,78841
Acid anhydride,0.0401,0.0255,0.0938,64,6,229,58,79148
Enamine,0.2793,0.2616,0.2996,1128,338,954,790,77359
Sulfoxide,0.2159,0.4560,0.1414,403,57,68,346,78970
Phosphine,0.0984,0.5000,0.0545,55,3,3,52,79383
Thioamide,0.3749,0.4388,0.3272,602,197,252,405,78587
