class,f1,precision,recall,support,tp,fp,fn,tn
Acid anhydride,0.0000,0.0000,0.0000,0,0,0,0,324
Acyl halide,0.0000,0.0000,0.0000,1,0,0,1,323
Alcohol,0.8941,0.9157,0.8736,87,76,7,11,230
Aldehyde,0.0518,0.0266,1.0000,8,8,293,0,23
Alkane,0.9811,0.9630,1.0000,312,312,12,0,0
Alkene,0.2212,0.1371,0.5714,42,24,151,18,131
Alkyne,0.0206,0.0108,0.2500,4,1,92,3,228
Amide,0.4429,0.3019,0.8312,77,64,148,13,99
Amine,0.6792,0.6164,0.7563,119,90,56,29,149
Arene,0.8980,0.8367,0.9691,259,251,49,8,16
Azo compound,0.0000,0.0000,0.0000,1,0,0,1,323
Carbamate,0.4054,0.3488,0.4839,31,15,28,16,265
Carboxylic acid,0.7742,0.8571,0.7059,34,24,4,10,286
Enamine,0.0581,0.0299,1.0000,9,9,292,0,23
Enol,0.0000,0.0000,0.0000,0,0,0,0,324
Ester,0.3980,0.2941,0.6154,65,40,96,25,163
Ether,0.7319,0.5772,1.0000,187,187,137,0,0
Haloalkane,0.6300,0.4599,1.0000,149,149,175,0,0
Hydrazine,0.2857,0.5000,0.2000,5,1,1,4,318
Hydrazone,0.1053,0.0714,0.2000,5,1,13,4,306
Imide,0.0421,0.0220,0.5000,4,2,89,2,231
Imine,0.0102,0.0051,0.5000,2,1,194,1,128
Isocyanate,0.0000,0.0000,0.0000,0,0,0,0,324
Isothiocyanate,0.0000,0.0000,0.0000,1,0,0,1,323
Ketone,0.2293,0.1417,0.6000,30,18,109,12,185
Nitrile,0.1198,0.0657,0.6842,19,13,185,6,120
Phenol,0.2857,0.1915,0.5625,16,9,38,7,270
Phosphine,0.0000,0.0000,0.0000,0,0,0,0,324
Sulfide,0.1950,0.1080,1.0000,35,35,289,0,0
Sulfonamide,0.1905,0.1818,0.2000,10,2,9,8,305
Sulfonate,0.0000,0.0000,0.0000,2,0,5,2,317
Sulfone,0.0000,0.0000,0.0000,4,0,2,4,318
Sulfonic acid,0.0000,0.0000,0.0000,0,0,0,0,324
Sulfoxide,0.0127,0.0064,1.0000,2,2,312,0,10
Thial,0.0000,0.0000,0.0000,0,0,0,0,324
Thioamide,0.0256,0.0130,1.0000,1,1,76,0,247
Thiol,0.0000,0.0000,0.0000,1,0,240,1,83
