class_index,label,f1,precision,recall,support_true,predicted_positive,main_diagnosis,top_wrong_predicted_when_this_was_missed
32,Sulfonic acid,0.0,0.0,0.0,1,4,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; weak probability separation between positives and negatives; low selected threshold may inflate false positives,
34,Thial,0.024390243902439025,0.012987012987012988,0.2,5,77,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; low selected threshold may inflate false positives; often missed while another label is predicted,Alcohol (1) | Alkene (1) | Amine (1)
10,Azo compound,0.17582417582417584,0.21621621621621623,0.14814814814814814,54,37,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; high selected threshold may suppress recall; often missed while another label is predicted,Ether (16) | Haloalkane (12) | Sulfide (11)
33,Sulfoxide,0.34354194407456723,0.4358108108108108,0.2835164835164835,455,296,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; high selected threshold may suppress recall; often missed while another label is predicted,Haloalkane (89) | Sulfide (82) | Ether (72)
21,Imine,0.3458149779735683,0.5015974440894568,0.2638655462184874,595,313,low support / rare class; mostly under-detected: many false negatives; high selected threshold may suppress recall; often missed while another label is predicted,Ether (131) | Haloalkane (74) | Ester (52)
0,Acid anhydride,0.3617021276595745,0.53125,0.27419354838709675,62,32,low support / rare class; mostly under-detected: many false negatives; high selected threshold may suppress recall; often missed while another label is predicted,Amide (13) | Haloalkane (13) | Ketone (7)
19,Hydrazone,0.36673773987206826,0.4332493702770781,0.3179297597042514,541,397,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; high selected threshold may suppress recall; often missed while another label is predicted,Ether (88) | Haloalkane (78) | Amide (48)
1,Acyl halide,0.4,0.4778156996587031,0.343980343980344,407,293,low support / rare class; mostly under-detected: many false negatives; over-predicted: many false positives; high selected threshold may suppress recall; often missed while another label is predicted,Ether (55) | Sulfide (33) | Ester (29)
27,Phosphine,0.41237113402061853,0.625,0.3076923076923077,65,32,low support / rare class; mostly under-detected: many false negatives; high selected threshold may suppress recall; often missed while another label is predicted,Haloalkane (15) | Ether (13) | Sulfide (6)
13,Enamine,0.44470727380248376,0.6550522648083623,0.3366159355416294,1117,574,low support / rare class; mostly under-detected: many false negatives; high selected threshold may suppress recall; often missed while another label is predicted,Haloalkane (167) | Ether (151) | Sulfide (88)
28,Sulfide,0.47412267449389217,0.4440850650925851,0.5085185185185185,10800,12367,over-predicted: many false positives; often missed while another label is predicted,Haloalkane (1205) | Ether (988) | Amide (370)
24,Ketone,0.5344064969907911,0.5329765692797223,0.5358441180747419,6877,6914,often missed while another label is predicted,Ether (650) | Haloalkane (648) | Amide (405)
35,Thioamide,0.5394853593611357,0.5801526717557252,0.5041459369817579,603,524,low support / rare class; high selected threshold may suppress recall; often missed while another label is predicted,Haloalkane (84) | Amide (81) | Ether (57)
3,Aldehyde,0.6211453744493393,0.705,0.5551181102362205,2032,1600,high selected threshold may suppress recall; often missed while another label is predicted,Haloalkane (224) | Ether (173) | Sulfide (102)
14,Enol,0.6372093023255814,0.7828571428571428,0.5372549019607843,255,175,low support / rare class; high selected threshold may suppress recall; often missed while another label is predicted,Phenol (44) | Haloalkane (32) | Ether (19)
5,Alkene,0.6419526728929124,0.6769788519637462,0.6103726302026585,9178,8275,often missed while another label is predicted,Haloalkane (770) | Ether (565) | Sulfide (379)
18,Hydrazine,0.6861979166666666,0.8045801526717558,0.5981838819523269,881,655,low support / rare class; high selected threshold may suppress recall; often missed while another label is predicted,Ether (67) | Haloalkane (60) | Sulfide (41)
20,Imide,0.7025222551928784,0.7781429745275267,0.6402974983096686,1479,1217,low support / rare class; often missed while another label is predicted,Haloalkane (130) | Ether (113) | Sulfide (57)
6,Alkyne,0.7157012195121951,0.852087114337568,0.6169513797634691,1522,1102,often missed while another label is predicted,Haloalkane (136) | Ether (81) | Sulfide (69)
17,Haloalkane,0.7344449166312527,0.6771457545865216,0.8023376481511825,36618,43388,often missed while another label is predicted,Ether (1225) | Sulfide (658) | Amide (456)
15,Ester,0.7452343196464118,0.7515481456277645,0.7390256959314775,14944,14695,often missed while another label is predicted,Haloalkane (867) | Sulfide (403) | Amide (372)
31,Sulfone,0.7960543854972008,0.8087757313109426,0.7837270341207349,1905,1846,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (101) | Ether (86) | Sulfonamide (73)
16,Ether,0.8004399416231308,0.7625994962216625,0.842231767297977,44933,49625,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (1545) | Sulfide (762) | Amide (599)
7,Amide,0.8072236020519487,0.786218122626153,0.8293823038397329,20965,22116,often missed while another label is predicted; strong class: good balance of precision and recall,Ether (859) | Haloalkane (658) | Sulfide (355)
26,Phenol,0.8502111989602513,0.8517795138888888,0.8486486486486486,4625,4608,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (188) | Ether (119) | Sulfide (100)
36,Thiol,0.8504854368932039,0.9563318777292577,0.7657342657342657,286,229,low support / rare class; often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (21) | Ether (12) | Sulfide (9)
29,Sulfonamide,0.8584984649734859,0.8746090417969861,0.8429706768977803,3649,3517,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (124) | Ether (120) | Sulfone (69)
11,Carbamate,0.8734572087345721,0.9034792368125701,0.8453662378577055,7618,7128,often missed while another label is predicted; strong class: good balance of precision and recall,Amide (259) | Haloalkane (204) | Ester (187)
30,Sulfonate,0.8882488479262672,0.9233532934131736,0.855715871254162,901,835,low support / rare class; often missed while another label is predicted; strong class: good balance of precision and recall,Ether (40) | Haloalkane (25) | Sulfonamide (22)
8,Amine,0.8922342350561866,0.9117976131277972,0.8734927203977729,33587,32176,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (965) | Ether (947) | Amide (499)
23,Isothiocyanate,0.9051094890510949,0.9841269841269841,0.8378378378378378,74,63,low support / rare class; often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (6) | Ether (4) | Amide (2)
25,Nitrile,0.9211576846307385,0.9654811715481172,0.8807251908396947,5240,4780,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (176) | Ether (109) | Sulfide (92)
22,Isocyanate,0.9565217391304348,0.9565217391304348,0.9565217391304348,92,92,low support / rare class; often missed while another label is predicted; strong class: good balance of precision and recall,Sulfide (2) | Amide (1) | Haloalkane (1)
9,Arene,0.9687118004679063,0.9647210577233151,0.9727356972150417,61509,62020,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (268) | Ether (223) | Sulfide (191)
12,Carboxylic acid,0.9792022251722612,0.9832423511489146,0.9751951649458575,7942,7877,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (42) | Phenol (37) | Ether (29)
2,Alcohol,0.9796014509822396,0.9832608284471345,0.9759692105510185,21306,21148,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (112) | Ether (89) | Sulfide (69)
4,Alkane,0.9874574484011013,0.9835587308584988,0.9913871971142536,76514,77123,often missed while another label is predicted; strong class: good balance of precision and recall,Haloalkane (176) | Sulfide (76) | Amide (47)
