class_index,label,support_true,support_true_pct,predicted_positive,predicted_positive_pct,prediction_minus_truth_pct,tp,fp,fn,tn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,threshold,mean_prob_all,mean_prob_true_positive_samples,mean_prob_true_negative_samples,prob_gap_pos_minus_neg,roc_auc,average_precision,train_prevalence,eval_prevalence,eval_minus_train_prevalence,pos_weight
0,Acid anhydride,62,0.0007804534182600924,32,0.00040281466748907994,-0.00037763875077101243,17,15,45,79364,0.53125,0.27419354838709675,0.3617021276595745,0.9998110331447864,0.00018896685521359554,0.7258064516129032,0.8799999356269836,0.0013062075013294816,0.33293575048446655,0.001047183875925839,0.3318885564804077,0.9291301144488935,0.3097836349220016,0.0007773149903779733,0.0007804534182600924,3.1384278821191365e-06,35.85358810424805
1,Acyl halide,407,0.005123299052126736,293,0.0036882717991968883,-0.0014350272529298474,140,153,267,78881,0.4778156996587031,0.343980343980344,0.4,0.9980641243009338,0.0019358756990662247,0.6560196560196561,0.8999999761581421,0.008438599295914173,0.4352409541606903,0.0062407031655311584,0.42900025844573975,0.9212761757932191,0.37453132777213055,0.0051280760195178444,0.005123299052126736,-4.776967391108798e-06,13.92856502532959
2,Alcohol,21306,0.26819904079757306,21148,0.26621014337684573,-0.001988897420727332,20794,354,512,57781,0.9832608284471345,0.9759692105510185,0.9796014509822396,0.9939107250365529,0.006089274963447149,0.02403078944898151,0.699999988079071,0.27060791850090027,0.9782685041427612,0.011256109923124313,0.9670124053955078,0.9987097895729172,0.9971048752598594,0.2682004213865474,0.26819904079757306,-1.3805889743645494e-06,1.6518337726593018
3,Aldehyde,2032,0.025578731385556577,1600,0.020140733374453997,-0.005437998011102579,1128,472,904,76937,0.705,0.5551181102362205,0.6211453744493393,0.9939025177950884,0.006097482204911573,0.4448818897637795,0.8999999761581421,0.040173497051000595,0.6572259068489075,0.023975761607289314,0.6332501173019409,0.935863362751671,0.6514261482874225,0.02558373366104346,0.025578731385556577,-5.002275486883784e-06,6.171494007110596
4,Alkane,76514,0.9631550458831082,77123,0.9708211125237598,0.007666066640651553,75855,1268,659,1659,0.9835587308584988,0.9913871971142536,0.9874574484011013,0.5667919371370004,0.4332080628629997,0.008612802885746399,0.1599999964237213,0.935603141784668,0.96168452501297,0.2538144886493683,0.7078700065612793,0.9789137825251922,0.9991479715698944,0.9631499195148547,0.9631550458831082,5.126368253449698e-06,0.19560153782367706
5,Alkene,9178,0.11553228181921174,8275,0.10416535542100427,-0.011366926398207475,5602,2673,3576,67590,0.6769788519637462,0.6103726302026585,0.6419526728929124,0.9619572178813885,0.0380427821186115,0.38962736979734147,0.6399999856948853,0.16290007531642914,0.6572117209434509,0.09833136200904846,0.5588803291320801,0.9002624209517058,0.7122496412226732,0.11553512787146294,0.11553228181921174,-2.8460522512041564e-06,2.7668349742889404
6,Alkyne,1522,0.019158872622449363,1102,0.013871930111655191,-0.0052869425107941745,939,163,583,77756,0.852087114337568,0.6169513797634691,0.7157012195121951,0.9979080840359861,0.002091915964013912,0.38304862023653086,0.949999988079071,0.02658982388675213,0.7097325325012207,0.013245929963886738,0.6964865922927856,0.9459221391654081,0.7363339771600549,0.019163804185856958,0.019158872622449363,-4.931563407594569e-06,7.154139041900635
7,Amide,20965,0.26390654699714255,22116,0.2783952870683904,0.014488740071247844,17388,4728,3577,53748,0.786218122626153,0.8293823038397329,0.8072236020519487,0.9191463164375129,0.08085368356248718,0.17061769616026712,0.46000000834465027,0.2846863269805908,0.7846386432647705,0.10544179379940033,0.679196834564209,0.9514528222675172,0.8940141745847756,0.26390473328182706,0.26390654699714255,1.8137153154906827e-06,1.670103669166565
8,Amine,33587,0.4227917574048665,32176,0.4050301481602699,-0.01776160924459662,29338,2838,4249,43016,0.9117976131277972,0.8734927203977729,0.8922342350561866,0.9381079077070703,0.06189209229292973,0.12650727960222705,0.47999998927116394,0.41893768310546875,0.8527671694755554,0.10116756707429886,0.7515996098518372,0.9646571082049207,0.9626575146737657,0.42279169374418785,0.4227917574048665,6.36606786730276e-08,1.1684309244155884
9,Arene,61509,0.7742727307058068,62020,0.7807051774272731,0.006432446721466246,59832,2188,1677,15744,0.9647210577233151,0.9727356972150417,0.9687118004679063,0.8779834931965201,0.12201650680347981,0.0272643027849583,0.2800000011920929,0.7407586574554443,0.9271389842033386,0.10145121067762375,0.8256877660751343,0.9847739670544053,0.9952962407518241,0.774267097389386,0.7742727307058068,5.633316420783352e-06,0.5399481058120728
10,Azo compound,54,0.0006797497513878224,37,0.0004657544592842487,-0.00021399529210357372,8,29,46,79358,0.21621621621621623,0.14814814814814814,0.17582417582417584,0.9996347008956127,0.0003652991043873682,0.8518518518518519,0.7599999904632568,0.0015433928929269314,0.16588884592056274,0.0014316031010821462,0.16445724666118622,0.7773408651197207,0.08124399436326793,0.0006829042628017013,0.0006797497513878224,-3.1545114138789142e-06,38.2535514831543
11,Carbamate,7618,0.09589506677911909,7128,0.08972696718319256,-0.006168099595926537,6440,688,1178,71135,0.9034792368125701,0.8453662378577055,0.8734572087345721,0.9904208958133188,0.009579104186681146,0.15463376214229457,0.7999999523162842,0.10789795219898224,0.8806727528572083,0.025932587683200836,0.8547401428222656,0.9860924697370609,0.9392582707101769,0.09590084355985089,0.09589506677911909,-5.776780731797659e-06,3.070413112640381
12,Carboxylic acid,7942,0.09997356528744603,7877,0.09915534799410884,-0.0008182172933371936,7745,132,197,71367,0.9832423511489146,0.9751951649458575,0.9792022251722612,0.9981538203331515,0.0018461796668484873,0.024804835054142535,0.7399999499320984,0.10098589956760406,0.9786090850830078,0.0035008485428988934,0.97510826587677,0.9993010505341053,0.9962455938304347,0.09997623996689331,0.09997356528744603,-2.6746794472842783e-06,3.0003960132598877
13,Enamine,1117,0.014060749487040697,574,0.007225488098085372,-0.006835261388955325,376,198,741,78126,0.6550522648083623,0.3366159355416294,0.44470727380248376,0.9974720392216945,0.0025279607783055004,0.6633840644583706,0.9399999380111694,0.019857995212078094,0.46134698390960693,0.013561801984906197,0.4477851688861847,0.8933297959301988,0.4338141331232264,0.01405775733610691,0.014060749487040697,2.992150933786575e-06,8.374670028686523
14,Enol,255,0.003209929381553606,175,0.002202892712830906,-0.0010070366687226998,137,38,118,79148,0.7828571428571428,0.5372549019607843,0.6372093023255814,0.999520117192433,0.0004798828075669942,0.4627450980392157,0.9199999570846558,0.004373261239379644,0.6323466897010803,0.002351019298657775,0.6299956440925598,0.9721585514967739,0.6377121445389207,0.003213111761845793,0.003209929381553606,-3.182380292187075e-06,17.61319923400879
15,Ester,14944,0.18811444971740032,14695,0.18498004808600094,-0.0031344016313994034,11044,3651,3900,60846,0.7515481456277645,0.7390256959314775,0.7452343196464118,0.9433927159402763,0.056607284059723706,0.2609743040685225,0.5999999642372131,0.22864128649234772,0.7519841194152832,0.1073823943734169,0.6446017026901245,0.9378564096436071,0.8305532206250892,0.18811180118359583,0.18811444971740032,2.6485338044945905e-06,2.077495574951172
16,Ether,44933,0.5656147329464634,49625,0.6246774335670497,0.05906270062058635,37844,11781,7089,22727,0.7625994962216625,0.842231767297977,0.8004399416231308,0.6586009041381709,0.34139909586182915,0.157768232702023,0.3799999952316284,0.5464602112770081,0.7240939140319824,0.31516265869140625,0.40893125534057617,0.8538296819820274,0.8937813276479207,0.5656099483730671,0.5656147329464634,4.784573396254821e-06,0.8763577342033386
17,Haloalkane,36618,0.4609458591910978,43388,0.5461663372817562,0.08522047809065848,29380,14008,7238,28815,0.6771457545865216,0.8023376481511825,0.7344449166312527,0.6728860658991663,0.32711393410083367,0.19766235184881753,0.3799999952316284,0.4669947624206543,0.6488688588142395,0.3114740252494812,0.3373948335647583,0.8230417980273709,0.8131808850883828,0.4609493628062645,0.4609458591910978,-3.503615166655649e-06,1.0814045667648315
18,Hydrazine,881,0.011089991314308732,655,0.008245112725167106,-0.0028448785891416273,527,128,354,78432,0.8045801526717558,0.5981838819523269,0.6861979166666666,0.9983706720977596,0.001629327902240326,0.4018161180476731,0.949999988079071,0.016325050964951515,0.6845667958259583,0.008831148967146873,0.6757356524467468,0.943636275894593,0.6899681481725146,0.011093260490211967,0.011089991314308732,-3.269175903234875e-06,9.44165325164795
