class_index,label,threshold,prob_p01,prob_p05,prob_p25,prob_p50,prob_p75,prob_p95,prob_p99,true_sample_prob_p50,negative_sample_prob_p50
0,Acid anhydride,0.8799999356269836,7.56412195656057e-15,4.5270815633539907e-13,1.47788545290517e-10,7.365931420366678e-09,3.445273080160405e-07,8.997940312838182e-05,0.0053361691534519196,0.04514647647738457,7.3284307511300995e-09
1,Acyl halide,0.8999999761581421,4.0657302286147e-13,2.0864464669867466e-11,3.931922343269889e-09,1.4816822613283875e-07,6.469210347859189e-06,0.0023811846040189266,0.24560008943080902,0.16866043210029602,1.4346856858082901e-07
2,Alcohol,0.699999988079071,1.1118949094779396e-09,3.5249772878387375e-08,3.668590579763986e-06,0.00011399916547816247,0.9860992431640625,0.9999998807907104,1.0,0.9999918937683105,1.834056638472248e-05
3,Aldehyde,0.8999999761581421,2.638053109293992e-10,6.52565423919782e-09,7.652254225831712e-07,2.275659608130809e-05,0.0008252036641351879,0.2151080071926117,0.9979444742202759,0.9659831523895264,1.9558572603273205e-05
4,Alkane,0.1599999964237213,0.021052509546279907,0.43227359652519226,0.9912204146385193,0.99936443567276,0.9999343156814575,0.9999964237213135,0.999999463558197,0.999458909034729,0.11091256886720657
5,Alkene,0.6399999856948853,3.612001455621794e-05,0.00024507465423084795,0.0037109798286110163,0.023994436487555504,0.15821819007396698,0.9426228404045105,0.9995614886283875,0.8389703035354614,0.01688508503139019
6,Alkyne,0.949999988079071,1.8047846203628204e-11,7.052036177235266e-10,1.4144298177143355e-07,5.427883934316924e-06,0.00021021414431743324,0.05073905736207962,0.9976693987846375,0.9978311657905579,4.828910732612712e-06
7,Amide,0.46000000834465027,1.3740947906626388e-05,0.00011434307816671208,0.0031231839675456285,0.0433831587433815,0.5882912874221802,0.9964159727096558,0.9997662901878357,0.9448673725128174,0.01143951341509819
8,Amine,0.47999998927116394,0.0002621352323330939,0.001209246926009655,0.014574638567864895,0.1607610434293747,0.982925295829773,0.9999545812606812,0.999996542930603,0.9942124485969543,0.022035690024495125
9,Arene,0.2800000011920929,5.0790495151886716e-05,0.0006195732275955379,0.522062361240387,0.9880131483078003,0.9994620680809021,0.9999898672103882,0.9999992847442627,0.9969633221626282,0.0066560134291648865
10,Azo compound,0.7599999904632568,4.641635925443921e-13,1.3988274080722896e-11,1.9788148897248448e-09,6.238225580545986e-08,1.954041408680496e-06,0.000299460138194263,0.011534515768289566,6.248617137316614e-05,6.221115711468883e-08
11,Carbamate,0.7999999523162842,1.274585503807657e-08,1.6246733025582216e-07,7.002943675615825e-06,0.00012783253623638302,0.004381626844406128,0.9997201561927795,0.9999996423721313,0.9997950196266174,7.478936458937824e-05
12,Carboxylic acid,0.7399999499320984,8.290117182140067e-13,4.0648786420183214e-11,9.508835496774282e-09,3.5793411257145635e-07,1.955165498657152e-05,0.9999995231628418,1.0,0.9999995231628418,1.8218710806650051e-07
13,Enamine,0.9399999380111694,3.6132102084612816e-12,1.3232072382241e-10,2.9670948364923788e-08,1.3493665846908698e-06,7.376804569503292e-05,0.032014526426792145,0.821552038192749,0.28499430418014526,1.235664512932999e-06
14,Enol,0.9199999570846558,4.479251510176342e-14,1.6273723904905446e-12,3.0878480328233593e-10,1.2115492609154899e-08,5.359342480915075e-07,0.00019150415027979761,0.02747425250709057,0.9680224657058716,1.184391607012003e-08
15,Ester,0.5999999642372131,4.069064016221091e-05,0.000243735674303025,0.003948680125176907,0.03213520720601082,0.3217748701572418,0.9908297061920166,0.9994543790817261,0.9297499656677246,0.015432012267410755
16,Ether,0.3799999952316284,0.015510358847677708,0.04857967048883438,0.2296416163444519,0.5528030395507812,0.8831893801689148,0.9959420561790466,0.9996159076690674,0.8240779042243958,0.24982362985610962
