global_sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
245257,3,6,9,Alcohol | Alkane | Amine | Sulfide | Thioamide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Ketone | Phenol,Amine | Sulfide | Thioamide,Arene | Ester | Ether | Haloalkane | Ketone | Phenol,Amine=0.0215 | Sulfide=0.0264 | Thioamide=0.0161,Arene=0.8488 | Ester=0.8121 | Ether=0.5841 | Haloalkane=0.4372 | Ketone=0.8463 | Phenol=0.9964
245360,6,3,9,Alcohol | Alkane | Alkene | Amide | Ester | Ether | Phenol,Alkane | Amine | Arene | Haloalkane,Alcohol | Alkene | Amide | Ester | Ether | Phenol,Amine | Arene | Haloalkane,Alcohol=0.1937 | Alkene=0.0438 | Amide=0.0140 | Ester=0.0726 | Ether=0.3585 | Phenol=0.4117,Amine=0.8266 | Arene=0.8299 | Haloalkane=0.6313
280942,7,2,9,Alkane | Alkene | Amine | Enamine | Ester | Ether | Hydrazine | Nitrile,Alkane | Amide | Haloalkane,Alkene | Amine | Enamine | Ester | Ether | Hydrazine | Nitrile,Amide | Haloalkane,Alkene=0.3577 | Amine=0.4419 | Enamine=0.0033 | Ester=0.0223 | Ether=0.0475 | Hydrazine=0.6843 | Nitrile=0.0254,Amide=0.9912 | Haloalkane=0.5754
539056,3,6,9,Alkane | Amine | Ester | Ether | Haloalkane,Alcohol | Alkane | Alkene | Amide | Amine | Carboxylic acid | Imide | Sulfide,Ester | Ether | Haloalkane,Alcohol | Alkene | Amide | Carboxylic acid | Imide | Sulfide,Ester=0.3263 | Ether=0.1296 | Haloalkane=0.1701,Alcohol=0.9942 | Alkene=0.7490 | Amide=0.6998 | Carboxylic acid=0.8463 | Imide=0.9902 | Sulfide=0.5245
553061,4,5,9,Alcohol | Alkane | Alkene | Amine | Arene | Ketone | Phenol | Thioamide,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Ether | Haloalkane | Sulfide,Amine | Ketone | Phenol | Thioamide,Amide | Enol | Ether | Haloalkane | Sulfide,Amine=0.0435 | Ketone=0.1120 | Phenol=0.0959 | Thioamide=0.0001,Amide=0.9674 | Enol=1.0000 | Ether=0.4454 | Haloalkane=0.3962 | Sulfide=0.7466
594394,5,4,9,Alcohol | Alkane | Alkene | Amine | Carbamate | Enamine | Ether | Ketone,Alcohol | Alkane | Amide | Amine | Carboxylic acid | Phenol | Sulfide,Alkene | Carbamate | Enamine | Ether | Ketone,Amide | Carboxylic acid | Phenol | Sulfide,Alkene=0.2209 | Carbamate=0.0184 | Enamine=0.1546 | Ether=0.1892 | Ketone=0.0394,Amide=0.9571 | Carboxylic acid=0.7932 | Phenol=0.9978 | Sulfide=0.5131
699895,3,6,9,Aldehyde | Alkane | Amide | Imide,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether,Aldehyde | Amide | Imide,Alkene | Amine | Arene | Enamine | Ester | Ether,Aldehyde=0.4314 | Amide=0.1948 | Imide=0.5286,Alkene=0.8135 | Amine=0.7069 | Arene=0.4261 | Enamine=0.9503 | Ester=0.7515 | Ether=0.9317
711041,3,6,9,Alkane | Alkene | Amine | Enamine | Ketone,Alcohol | Alkane | Amine | Arene | Ester | Ether | Haloalkane | Phenol,Alkene | Enamine | Ketone,Alcohol | Arene | Ester | Ether | Haloalkane | Phenol,Alkene=0.5961 | Enamine=0.2186 | Ketone=0.1259,Alcohol=0.7891 | Arene=0.9722 | Ester=0.9313 | Ether=0.7257 | Haloalkane=0.4169 | Phenol=0.7752
786063,4,5,9,Alcohol | Alkane | Alkene | Amine | Arene | Enol | Ketone,Alkane | Amide | Amine | Arene | Ether | Haloalkane | Nitrile | Sulfide,Alcohol | Alkene | Enol | Ketone,Amide | Ether | Haloalkane | Nitrile | Sulfide,Alcohol=0.0000 | Alkene=0.0680 | Enol=0.0000 | Ketone=0.0001,Amide=0.6120 | Ether=0.6444 | Haloalkane=0.7132 | Nitrile=0.9492 | Sulfide=0.5013
24771,3,5,8,Alcohol | Alkane | Amine | Sulfide | Thioamide,Alcohol | Alkane | Arene | Haloalkane | Ketone | Phenol | Sulfone,Amine | Sulfide | Thioamide,Arene | Haloalkane | Ketone | Phenol | Sulfone,Amine=0.0128 | Sulfide=0.0402 | Thioamide=0.2412,Arene=0.6073 | Haloalkane=0.6573 | Ketone=0.9032 | Phenol=0.9936 | Sulfone=0.7633
