split,class_index,label,count,pct,num_samples
train,0,Acid anhydride,494,0.0007773149903779733,635521
train,1,Acyl halide,3259,0.0051280760195178444,635521
train,2,Alcohol,170447,0.2682004213865474,635521
train,3,Aldehyde,16259,0.02558373366104346,635521
train,4,Alkane,612102,0.9631499195148547,635521
train,5,Alkene,73425,0.11553512787146294,635521
train,6,Alkyne,12179,0.019163804185856958,635521
train,7,Amide,167717,0.26390473328182706,635521
train,8,Amine,268693,0.42279169374418785,635521
train,9,Arene,492063,0.774267097389386,635521
train,10,Azo compound,434,0.0006829042628017013,635521
train,11,Carbamate,60947,0.09590084355985089,635521
train,12,Carboxylic acid,63537,0.09997623996689331,635521
train,13,Enamine,8934,0.01405775733610691,635521
train,14,Enol,2042,0.003213111761845793,635521
train,15,Ester,119549,0.18811180118359583,635521
train,16,Ether,359457,0.5656099483730671,635521
train,17,Haloalkane,292943,0.4609493628062645,635521
train,18,Hydrazine,7050,0.011093260490211967,635521
train,19,Hydrazone,4331,0.006814881018880572,635521
train,20,Imide,11829,0.018613074941662037,635521
train,21,Imine,4760,0.007489917721050917,635521
train,22,Isocyanate,738,0.0011612519491881463,635521
train,23,Isothiocyanate,590,0.0009283721545000086,635521
train,24,Ketone,55017,0.08656991665106267,635521
train,25,Nitrile,41923,0.06596634886966757,635521
train,26,Phenol,37000,0.05821994867203444,635521
train,27,Phosphine,521,0.0008197998177872957,635521
train,28,Sulfide,86403,0.1359561682462106,635521
train,29,Sulfonamide,29188,0.04592767194160382,635521
train,30,Sulfonate,7212,0.011348169454667902,635521
train,31,Sulfone,15239,0.023978751292246834,635521
train,32,Sulfonic acid,8,1.2588097010169609e-05,635521
train,33,Sulfoxide,3636,0.005721290091122087,635521
train,34,Thial,38,5.979346079830564e-05,635521
train,35,Thioamide,4827,0.007595343033511088,635521
train,36,Thiol,2292,0.003606489793413593,635521
val,0,Acid anhydride,62,0.0007804534182600924,79441
val,1,Acyl halide,407,0.005123299052126736,79441
val,2,Alcohol,21306,0.26819904079757306,79441
val,3,Aldehyde,2032,0.025578731385556577,79441
val,4,Alkane,76514,0.9631550458831082,79441
val,5,Alkene,9178,0.11553228181921174,79441
val,6,Alkyne,1522,0.019158872622449363,79441
val,7,Amide,20965,0.26390654699714255,79441
val,8,Amine,33587,0.4227917574048665,79441
val,9,Arene,61509,0.7742727307058068,79441
val,10,Azo compound,54,0.0006797497513878224,79441
val,11,Carbamate,7618,0.09589506677911909,79441
val,12,Carboxylic acid,7942,0.09997356528744603,79441
val,13,Enamine,1117,0.014060749487040697,79441
val,14,Enol,255,0.003209929381553606,79441
val,15,Ester,14944,0.18811444971740032,79441
val,16,Ether,44933,0.5656147329464634,79441
val,17,Haloalkane,36618,0.4609458591910978,79441
val,18,Hydrazine,881,0.011089991314308732,79441
val,19,Hydrazone,541,0.0068100854722372576,79441
val,20,Imide,1479,0.018617590413010913,79441
val,21,Imine,595,0.0074898352236250805,79441
val,22,Isocyanate,92,0.0011580921690311048,79441
val,23,Isothiocyanate,74,0.0009315089185684974,79441
val,24,Ketone,6877,0.08656738963507508,79441
val,25,Nitrile,5240,0.06596090180133685,79441
val,26,Phenol,4625,0.058219307410531086,79441
val,27,Phosphine,65,0.0008182172933371936,79441
val,28,Sulfide,10801,0.13596253823592352,79441
val,29,Sulfonamide,3649,0.04593346005211415,79441
val,30,Sulfonate,901,0.011341750481489407,79441
val,31,Sulfone,1905,0.023980060673959292,79441
val,32,Sulfonic acid,1,1.2587958359033748e-05,79441
val,33,Sulfoxide,455,0.005727521053360355,79441
val,34,Thial,5,6.293979179516874e-05,79441
val,35,Thioamide,603,0.00759053889049735,79441
val,36,Thiol,286,0.003600156090683652,79441
test,0,Acid anhydride,62,0.0007804534182600924,79441
test,1,Acyl halide,407,0.005123299052126736,79441
test,2,Alcohol,21306,0.26819904079757306,79441
test,3,Aldehyde,2032,0.025578731385556577,79441
test,4,Alkane,76514,0.9631550458831082,79441
test,5,Alkene,9178,0.11553228181921174,79441
test,6,Alkyne,1522,0.019158872622449363,79441
test,7,Amide,20965,0.26390654699714255,79441
test,8,Amine,33587,0.4227917574048665,79441
test,9,Arene,61509,0.7742727307058068,79441
test,10,Azo compound,54,0.0006797497513878224,79441
test,11,Carbamate,7618,0.09589506677911909,79441
test,12,Carboxylic acid,7942,0.09997356528744603,79441
test,13,Enamine,1117,0.014060749487040697,79441
test,14,Enol,255,0.003209929381553606,79441
test,15,Ester,14944,0.18811444971740032,79441
test,16,Ether,44933,0.5656147329464634,79441
test,17,Haloalkane,36618,0.4609458591910978,79441
test,18,Hydrazine,881,0.011089991314308732,79441
test,19,Hydrazone,541,0.0068100854722372576,79441
test,20,Imide,1479,0.018617590413010913,79441
test,21,Imine,595,0.0074898352236250805,79441
test,22,Isocyanate,92,0.0011580921690311048,79441
test,23,Isothiocyanate,74,0.0009315089185684974,79441
test,24,Ketone,6877,0.08656738963507508,79441
test,25,Nitrile,5240,0.06596090180133685,79441
test,26,Phenol,4625,0.058219307410531086,79441
test,27,Phosphine,65,0.0008182172933371936,79441
test,28,Sulfide,10800,0.13594995027756449,79441
test,29,Sulfonamide,3649,0.04593346005211415,79441
test,30,Sulfonate,901,0.011341750481489407,79441
test,31,Sulfone,1905,0.023980060673959292,79441
test,32,Sulfonic acid,1,1.2587958359033748e-05,79441
test,33,Sulfoxide,455,0.005727521053360355,79441
test,34,Thial,5,6.293979179516874e-05,79441
test,35,Thioamide,603,0.00759053889049735,79441
test,36,Thiol,286,0.003600156090683652,79441
