missed_true_label_index,missed_true_label,wrong_predicted_label_index,wrong_predicted_label,count
16,Ether,17,Haloalkane,1545
17,Haloalkane,16,Ether,1225
28,Sulfide,17,Haloalkane,1205
28,Sulfide,16,Ether,988
8,Amine,17,Haloalkane,965
8,Amine,16,Ether,947
15,Ester,17,Haloalkane,867
7,Amide,16,Ether,859
5,Alkene,17,Haloalkane,770
16,Ether,28,Sulfide,762
7,Amide,17,Haloalkane,658
17,Haloalkane,28,Sulfide,658
24,Ketone,16,Ether,650
24,Ketone,17,Haloalkane,648
16,Ether,7,Amide,599
5,Alkene,16,Ether,565
8,Amine,7,Amide,499
17,Haloalkane,7,Amide,456
17,Haloalkane,15,Ester,434
24,Ketone,7,Amide,405
15,Ester,28,Sulfide,403
8,Amine,28,Sulfide,399
5,Alkene,28,Sulfide,379
15,Ester,7,Amide,372
24,Ketone,15,Ester,371
28,Sulfide,7,Amide,370
7,Amide,28,Sulfide,355
7,Amide,15,Ester,351
16,Ether,8,Amine,347
7,Amide,24,Ketone,334
24,Ketone,28,Sulfide,328
28,Sulfide,15,Ester,327
16,Ether,24,Ketone,323
17,Haloalkane,24,Ketone,319
17,Haloalkane,5,Alkene,297
17,Haloalkane,8,Amine,297
15,Ester,24,Ketone,291
8,Amine,15,Ester,288
28,Sulfide,24,Ketone,272
9,Arene,17,Haloalkane,268
16,Ether,5,Alkene,263
11,Carbamate,7,Amide,259
7,Amide,8,Amine,255
28,Sulfide,5,Alkene,225
3,Aldehyde,17,Haloalkane,224
9,Arene,16,Ether,223
16,Ether,9,Arene,213
28,Sulfide,8,Amine,213
5,Alkene,7,Amide,207
11,Carbamate,17,Haloalkane,204
17,Haloalkane,9,Arene,204
8,Amine,24,Ketone,197
15,Ester,8,Amine,192
9,Arene,28,Sulfide,191
26,Phenol,17,Haloalkane,188
11,Carbamate,15,Ester,187
4,Alkane,17,Haloalkane,176
25,Nitrile,17,Haloalkane,176
3,Aldehyde,16,Ether,173
8,Amine,5,Alkene,173
5,Alkene,15,Ester,168
28,Sulfide,9,Arene,168
5,Alkene,8,Amine,167
13,Enamine,17,Haloalkane,167
11,Carbamate,28,Sulfide,160
5,Alkene,9,Arene,156
13,Enamine,16,Ether,151
5,Alkene,24,Ketone,147
15,Ester,9,Arene,141
6,Alkyne,17,Haloalkane,136
21,Imine,16,Ether,131
20,Imide,17,Haloalkane,130
7,Amide,5,Alkene,128
15,Ester,5,Alkene,128
28,Sulfide,4,Alkane,128
17,Haloalkane,4,Alkane,125
29,Sulfonamide,17,Haloalkane,124
29,Sulfonamide,16,Ether,120
26,Phenol,16,Ether,119
24,Ketone,5,Alkene,118
20,Imide,16,Ether,113
2,Alcohol,17,Haloalkane,112
8,Amine,9,Arene,110
25,Nitrile,16,Ether,109
24,Ketone,8,Amine,108
15,Ester,11,Carbamate,105
7,Amide,9,Arene,104
3,Aldehyde,28,Sulfide,102
9,Arene,15,Ester,101
31,Sulfone,17,Haloalkane,101
26,Phenol,28,Sulfide,100
7,Amide,11,Carbamate,96
9,Arene,7,Amide,96
25,Nitrile,28,Sulfide,92
2,Alcohol,16,Ether,89
33,Sulfoxide,17,Haloalkane,89
13,Enamine,28,Sulfide,88
19,Hydrazone,16,Ether,88
9,Arene,5,Alkene,86
31,Sulfone,16,Ether,86
