false_negative_true_label__vs__false_positive_predicted_label,Acid anhydride,Acyl halide,Alcohol,Aldehyde,Alkane,Alkene,Alkyne,Amide,Amine,Arene,Azo compound,Carbamate,Carboxylic acid,Enamine,Enol,Ester,Ether,Haloalkane,Hydrazine,Hydrazone,Imide,Imine,Isocyanate,Isothiocyanate,Ketone,Nitrile,Phenol,Phosphine,Sulfide,Sulfonamide,Sulfonate,Sulfone,Sulfonic acid,Sulfoxide,Thial,Thioamide,Thiol
Acid anhydride,0,0,0,1,0,2,0,13,1,2,0,2,0,1,0,0,0,13,0,0,3,0,0,0,7,0,1,0,3,0,0,0,0,0,0,0,0
Acyl halide,0,0,1,12,3,6,1,9,10,4,0,1,0,1,0,29,55,0,1,0,0,2,0,0,29,1,0,0,33,0,0,3,0,2,1,0,0
Alcohol,0,1,0,2,10,19,1,45,35,17,0,3,0,3,0,29,89,112,2,6,2,2,0,0,20,4,2,0,69,6,2,4,0,0,1,3,0
Aldehyde,0,3,5,0,29,42,2,70,58,36,0,14,0,8,0,77,173,224,0,3,3,3,0,0,48,3,2,0,102,8,0,9,0,2,1,8,0
Alkane,0,1,5,3,0,35,2,47,19,21,1,1,3,2,0,3,30,176,1,6,0,0,0,0,12,6,9,0,76,4,1,1,0,2,1,3,0
Alkene,1,5,14,37,73,0,8,207,167,156,0,35,5,2,0,168,565,770,5,18,11,15,0,0,147,15,67,1,379,18,3,18,0,15,4,6,1
Alkyne,0,0,4,1,12,23,0,22,16,20,0,7,1,0,1,23,81,136,0,0,1,1,0,0,14,6,10,1,69,3,0,3,0,1,0,2,0
Amide,2,7,22,31,70,128,4,0,255,104,0,96,7,9,0,351,859,658,8,22,7,5,0,0,334,13,37,0,355,20,1,17,0,8,4,21,0
Amine,0,9,32,36,37,173,4,499,0,110,1,72,12,7,5,288,947,965,12,22,25,14,0,0,197,10,63,0,399,9,9,42,0,10,7,13,0
Arene,0,4,4,12,28,86,6,96,67,0,0,12,10,9,0,101,223,268,1,4,4,2,0,0,65,6,15,0,191,8,1,6,0,5,4,6,0
Azo compound,0,0,0,0,3,0,0,4,2,0,0,0,0,0,0,3,16,12,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0
Carbamate,0,0,8,5,5,35,2,259,79,25,0,0,4,3,0,187,4,204,7,7,14,4,0,0,53,2,9,0,160,10,0,7,0,3,2,9,1
Carboxylic acid,0,0,0,0,8,11,0,19,10,8,0,4,0,0,0,16,29,42,1,1,0,1,0,0,10,0,37,0,23,3,0,2,0,0,0,2,0
Enamine,0,2,6,9,19,0,0,74,23,42,0,14,1,0,1,46,151,167,2,8,6,7,0,0,48,1,15,0,88,5,1,5,0,2,1,3,0
Enol,0,0,0,1,4,0,0,5,9,6,0,0,3,1,0,8,19,32,0,0,0,0,0,0,5,1,44,0,17,1,0,2,0,0,0,0,0
Ester,1,26,13,35,5,128,8,372,192,141,3,105,15,18,6,0,0,867,6,19,25,12,0,0,291,16,34,0,403,22,6,17,0,8,1,15,2
Ether,0,17,46,48,71,263,18,599,347,213,2,11,19,28,4,34,0,1545,17,25,33,11,0,0,323,24,82,0,762,55,5,31,0,19,6,32,2
Haloalkane,0,6,29,57,125,297,20,456,297,204,4,84,13,21,6,434,1225,0,16,19,34,18,2,1,319,11,82,0,658,42,5,27,2,9,3,26,3
Hydrazine,0,1,3,1,16,10,1,28,6,9,0,7,0,0,0,23,67,60,0,9,2,1,0,0,6,3,2,0,41,2,0,3,0,3,0,4,0
Hydrazone,0,1,5,4,14,18,4,48,20,12,0,5,0,2,0,39,88,78,3,0,1,6,0,0,42,2,6,0,47,4,1,2,0,1,0,3,0
Imide,0,1,5,7,13,25,0,12,38,17,1,13,0,2,0,35,113,130,1,2,0,1,0,0,39,0,5,0,57,4,0,2,0,2,1,2,0
Imine,0,1,1,5,6,26,0,32,23,7,0,7,0,2,1,52,131,74,0,2,1,0,0,0,44,0,6,0,41,1,0,1,0,3,0,1,0
Isocyanate,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Isothiocyanate,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ketone,2,20,16,44,51,118,5,405,108,77,0,33,8,9,4,371,650,648,3,7,23,10,1,1,0,13,43,0,328,16,3,17,0,6,2,9,0
Nitrile,1,2,1,13,23,30,4,45,28,36,1,7,2,4,1,28,109,176,0,3,4,2,2,0,24,0,5,0,92,6,0,3,0,3,0,3,0
Phenol,0,1,0,2,29,49,2,51,45,14,0,11,20,4,6,23,119,188,1,4,9,0,0,0,22,1,0,1,100,4,3,6,1,1,0,0,0
Phosphine,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,13,15,1,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,0
Sulfide,0,19,24,38,128,225,15,370,213,168,1,61,8,19,5,327,988,1205,17,16,23,16,0,0,272,22,59,1,0,24,6,38,0,23,5,15,0
Sulfonamide,0,1,14,4,5,22,1,51,20,12,0,4,2,2,1,33,120,124,2,0,3,1,1,0,28,1,11,0,65,0,12,69,0,2,1,2,0
Sulfonate,0,0,1,0,3,6,0,10,17,1,0,2,0,1,1,6,40,25,0,0,2,0,0,0,6,0,2,0,11,22,0,10,1,1,0,0,0
Sulfone,0,1,5,5,9,22,0,43,70,9,1,3,1,3,0,21,86,101,1,3,0,4,0,0,24,2,5,1,42,73,3,0,0,2,0,1,0
Sulfonic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfoxide,0,4,5,7,9,21,1,26,20,10,0,2,3,1,0,17,72,89,2,1,1,1,0,0,23,1,3,0,82,9,0,12,0,0,0,2,0
Thial,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thioamide,0,2,1,1,7,6,1,81,2,8,0,12,1,0,1,21,57,84,1,7,3,0,0,0,19,2,4,0,37,1,0,2,0,2,1,0,0
Thiol,0,0,0,0,6,5,1,0,2,4,0,1,0,1,0,6,12,21,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0
