run_name,status,learning_rate,batch_size,weight_decay,leaf_dropout,readout_dropout,merge_residual_weight,threshold_grid_step,chi,segment_window_size,segment_stride,best_epoch,best_early_stop_score,best_val_loss,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,elapsed_seconds,output_dir,command
lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.05,0.0,0.1,0.02,64,64,32,34,0.538076,0.712524,0.726545,0.290663,0.660469,0.807312,87.11,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p1_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.05 --readout-dropout 0.0 --merge-residual-weight 0.1 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.05,0.0,0.15,0.02,64,64,32,61,0.551773,1.111264,0.754209,0.297761,0.734770,0.774704,126.58,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0_mrw0p15_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.05 --readout-dropout 0.0 --merge-residual-weight 0.15 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.05,0.05,0.1,0.02,64,64,32,57,0.562347,1.030909,0.754681,0.314630,0.725285,0.786561,121.73,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.05 --readout-dropout 0.05 --merge-residual-weight 0.1 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.05,0.05,0.15,0.02,64,64,32,45,0.544670,0.922859,0.729048,0.300972,0.674653,0.792984,102.13,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p05_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.05 --readout-dropout 0.05 --merge-residual-weight 0.15 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.1,0.0,0.1,0.02,64,64,32,36,0.544620,0.734214,0.747676,0.305383,0.690825,0.814723,87.28,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p1_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.1 --readout-dropout 0.0 --merge-residual-weight 0.1 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.1,0.0,0.15,0.02,64,64,32,45,0.549193,0.876474,0.748903,0.316214,0.703254,0.800889,102.74,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0_mrw0p15_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.1 --readout-dropout 0.0 --merge-residual-weight 0.15 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.1,0.05,0.1,0.02,64,64,32,42,0.547585,0.867366,0.752354,0.294536,0.718525,0.789526,96.58,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p1_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.1 --readout-dropout 0.05 --merge-residual-weight 0.1 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.1,0.05,0.15,0.02,64,64,32,44,0.559332,0.905947,0.738851,0.302640,0.690886,0.793972,101.01,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p1_rd0p05_mrw0p15_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.1 --readout-dropout 0.05 --merge-residual-weight 0.15 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.15,0.0,0.1,0.02,64,64,32,62,0.561047,1.011755,0.745327,0.307306,0.707004,0.788043,128.82,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p1_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p1_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.15 --readout-dropout 0.0 --merge-residual-weight 0.1 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,ok,0.0004,1024,1e-06,0.15,0.0,0.15,0.02,64,64,32,45,0.551622,0.840950,0.742645,0.306161,0.699084,0.791996,101.88,src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p15_tgs0p02_chi64_win64_stride32,/Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/.venv/bin/python /Users/leonakryeziu/ZHAW_Modul/SEM6/BA/spectroscopy-qml-xkye-verdiant/src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/train.py --data-dir data/raw --output-dir src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/sweeps/lr0p0004_bs1024_wd1em06_ld0p15_rd0_mrw0p15_tgs0p02_chi64_win64_stride32 --device mps --epochs 200 --early-stopping-patience 20 --min-epochs-before-stopping 30 --num-workers 0 --seed 42 --batch-size 1024 --learning-rate 0.0004 --weight-decay 1e-06 --leaf-dropout 0.15 --readout-dropout 0.0 --merge-residual-weight 0.15 --threshold-grid-step 0.02 --chi 64 --segment-window-size 64 --segment-stride 32 --apply-snv --cache-path data/cache/ir_spectra_len1800_snv_files1.npz --split-path src/spectroscopy_qml/ir/tree_tensor_network/experiment/experiment6/results/one_file_run/data_split_seed42_files1.npz --max-files 1 --no-amp --no-compile
